Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
3.0,3.98,7.47,7.05,43.12,0.77,3.1,1.106,1.958,1.167,0.833,0.0,,
3.05,4.16,8.1,7.2,43.18,0.83,3.22,1.156,2.0,1.0,0.833,0.0,,
3.1,4.29,7.76,7.34,43.23,0.88,3.32,1.192,2.039,0.722,0.778,0.0,,
3.15,4.39,8.39,7.49,43.28,0.95,3.44,1.219,2.081,0.556,0.833,0.0,,
3.2,4.47,8.06,7.64,43.33,1.01,3.55,1.242,2.122,0.444,0.833,0.0,,
3.25,4.58,8.68,7.78,43.39,1.07,3.67,1.272,2.161,0.611,0.778,0.0,,
3.3,4.72,8.35,7.93,43.44,1.13,3.79,1.311,2.203,0.778,0.833,0.0,,
3.35,4.9,8.98,8.08,43.5,1.2,3.91,1.361,2.244,1.0,0.833,0.0,,
3.4,5.09,8.65,8.22,43.55,1.27,4.03,1.414,2.283,1.056,0.778,0.0,,
3.45,5.27,9.27,8.37,43.61,1.34,4.16,1.464,2.325,1.0,0.833,0.0,,
3.5,5.37,8.94,8.52,43.66,1.42,4.29,1.492,2.367,0.556,0.833,0.0,,
3.55,5.42,9.56,8.66,43.71,1.49,4.42,1.506,2.406,0.278,0.778,0.0,,
3.6,5.46,9.23,8.81,43.77,1.57,4.55,1.517,2.447,0.222,0.833,0.0,,
3.65,5.53,9.85,8.96,43.83,1.64,4.68,1.536,2.489,0.389,0.833,0.0,,
3.7,5.64,9.52,9.1,43.88,1.72,4.82,1.567,2.528,0.611,0.778,0.0,,
3.75,5.77,10.13,9.25,43.94,1.8,4.96,1.603,2.569,0.722,0.833,0.0,,
3.8,5.93,9.82,9.39,44.0,1.88,5.09,1.647,2.608,0.889,0.778,0.0,,
3.85,6.09,10.42,9.54,44.06,1.97,5.24,1.692,2.65,0.889,0.833,0.0,,
3.9,6.25,10.11,9.68,44.12,2.05,5.38,1.736,2.689,0.889,0.778,0.0,,
3.95,6.4,10.71,9.83,44.18,2.14,5.53,1.778,2.731,0.833,0.833,0.0,,
4.0,6.53,10.41,9.98,44.23,2.23,5.67,1.814,2.772,0.722,0.833,0.0,,
4.05,6.64,11.0,10.12,44.29,2.32,5.82,1.844,2.811,0.611,0.778,0.0,,
4.1,6.74,10.7,10.27,44.35,2.42,5.97,1.872,2.853,0.556,0.833,0.0,,
4.15,6.84,11.3,10.41,44.41,2.51,6.13,1.9,2.892,0.556,0.778,0.0,,
4.2,6.95,11.0,10.56,44.47,2.6,6.28,1.931,2.933,0.611,0.833,0.0,,
4.25,7.09,11.6,10.71,44.53,2.7,6.44,1.969,2.975,0.778,0.833,0.0,,
4.3,7.24,11.31,10.86,44.59,2.8,6.6,2.011,3.017,0.833,0.833,0.0,,
4.35,7.41,11.9,11.0,44.65,2.9,6.77,2.058,3.056,0.944,0.778,0.0,,
4.4,7.56,11.61,11.15,44.71,3.01,6.93,2.1,3.097,0.833,0.833,0.0,,
4.45,7.69,12.19,11.3,44.77,3.11,7.1,2.136,3.139,0.722,0.833,0.0,,
4.5,7.86,11.91,11.45,44.83,3.22,7.26,2.183,3.181,0.944,0.833,0.0,,
4.55,8.05,12.49,11.6,44.89,3.33,7.44,2.236,3.222,1.056,0.833,0.0,,
4.6,8.26,12.21,11.75,44.95,3.45,7.61,2.294,3.264,1.167,0.833,0.0,,
4.65,8.47,12.79,11.9,45.01,3.56,7.78,2.353,3.306,1.167,0.833,0.0,,
4.7,8.66,12.51,12.05,45.07,3.68,7.96,2.406,3.347,1.056,0.833,0.0,,
4.75,8.83,13.08,12.2,45.13,3.81,8.14,2.453,3.389,0.944,0.833,0.0,,
4.8,8.97,12.81,12.35,45.18,3.93,8.32,2.492,3.431,0.778,0.833,0.0,,
4.85,9.08,13.37,12.5,45.24,4.05,8.5,2.522,3.472,0.611,0.833,0.0,,
4.9,9.22,13.11,12.65,45.3,4.18,8.69,2.561,3.514,0.778,0.833,0.0,,
4.95,9.4,13.66,12.79,45.36,4.31,8.87,2.611,3.553,1.0,0.778,0.0,,
5.0,9.61,13.4,12.94,45.41,4.44,9.06,2.669,3.594,1.167,0.833,0.0,,
5.05,9.84,13.94,13.09,45.47,4.58,9.25,2.733,3.636,1.278,0.833,0.0,,
5.1,10.07,13.69,13.23,45.52,4.72,9.45,2.797,3.675,1.278,0.778,0.0,,
5.15,10.28,14.23,13.38,45.58,4.86,9.64,2.856,3.717,1.167,0.833,0.0,,
5.2,10.48,13.98,13.53,45.63,5.0,9.84,2.911,3.758,1.111,0.833,0.0,,
5.25,10.71,14.51,13.67,45.68,5.15,10.04,2.975,3.797,1.278,0.778,0.0,,
5.3,10.98,14.27,13.82,45.73,5.3,10.24,3.05,3.839,1.5,0.833,0.0,,
5.35,11.27,14.8,13.96,45.78,5.46,10.44,3.131,3.878,1.611,0.778,0.0,,
5.4,11.56,14.56,14.1,45.82,5.62,10.64,3.211,3.917,1.611,0.778,0.0,,
5.45,11.83,15.08,14.25,45.87,5.78,10.85,3.286,3.958,1.5,0.833,0.0,,
5.5,12.07,14.85,14.39,45.91,5.95,11.06,3.353,3.997,1.333,0.778,0.0,,
5.55,12.28,15.36,14.53,45.95,6.11,11.27,3.411,4.036,1.167,0.778,0.0,,
5.6,12.46,15.14,14.68,45.99,6.29,11.48,3.461,4.078,1.0,0.833,0.0,,
5.65,12.62,15.64,14.82,46.04,6.46,11.7,3.506,4.117,0.889,0.778,0.0,,
5.7,12.75,15.43,14.97,46.08,6.64,11.92,3.542,4.158,0.722,0.833,0.0,,
5.75,12.88,15.93,15.11,46.12,6.82,12.14,3.578,4.197,0.722,0.778,0.0,,
5.8,13.02,15.72,15.25,46.16,7.0,12.36,3.617,4.236,0.778,0.778,0.0,,
5.85,13.23,16.21,15.39,46.2,7.18,12.58,3.675,4.275,1.167,0.778,0.0,,
5.9,13.5,16.01,15.54,46.24,7.36,12.8,3.75,4.317,1.5,0.833,0.0,,
5.95,13.82,16.49,15.68,46.27,7.55,13.03,3.839,4.356,1.778,0.778,0.0,,
6.0,14.14,16.31,15.83,46.31,7.75,13.26,3.928,4.397,1.778,0.833,0.0,,
6.05,14.46,16.78,15.97,46.34,7.95,13.49,4.017,4.436,1.778,0.778,0.0,,
6.1,14.74,16.61,16.11,46.37,8.15,13.72,4.094,4.475,1.556,0.778,0.0,,
6.15,14.98,17.08,16.26,46.4,8.36,13.96,4.161,4.517,1.333,0.833,0.0,,
6.2,15.18,16.92,16.41,46.43,8.57,14.19,4.217,4.558,1.111,0.833,0.0,,
6.25,15.33,17.37,16.55,46.45,8.78,14.43,4.258,4.597,0.833,0.778,0.0,,
6.3,15.47,17.22,16.7,46.48,8.99,14.67,4.297,4.639,0.778,0.833,0.0,,
6.35,15.6,17.66,16.85,46.51,9.21,14.92,4.333,4.681,0.722,0.833,0.0,,
6.4,15.74,17.53,17.0,46.54,9.43,15.16,4.372,4.722,0.778,0.833,0.0,,
6.45,15.91,17.96,17.14,46.56,9.65,15.41,4.419,4.761,0.944,0.778,0.0,,
6.5,16.11,17.83,17.3,46.59,9.87,15.66,4.475,4.806,1.111,0.889,0.0,,
6.55,16.32,18.12,17.43,46.62,10.1,15.91,4.533,4.842,1.167,0.722,0.0,,
6.6,16.55,18.8,17.65,46.64,10.32,16.17,4.597,4.903,1.278,1.222,0.0,,
6.65,16.78,17.94,17.74,46.66,10.56,16.41,4.661,4.928,1.278,0.5,0.0,,
6.7,16.98,18.41,17.89,46.68,10.79,16.67,4.717,4.969,1.111,0.833,0.0,,
6.75,17.15,18.57,18.0,46.7,11.03,16.93,4.764,5.0,0.944,0.611,0.0,,
6.8,17.33,18.92,18.17,46.72,11.27,17.19,4.814,5.047,1.0,0.944,0.0,,
6.85,17.5,18.86,18.29,46.74,11.51,17.45,4.861,5.081,0.944,0.667,0.0,,
6.9,17.67,19.14,18.45,46.76,11.75,17.72,4.908,5.125,0.944,0.889,0.0,,
6.95,17.84,19.06,18.57,46.78,12.0,17.98,4.956,5.158,0.944,0.667,0.0,,
7.0,18.01,19.32,18.71,46.8,12.25,18.25,5.003,5.197,0.944,0.778,0.0,,
7.05,18.19,19.22,18.82,46.82,12.5,18.52,5.053,5.228,1.0,0.611,0.0,,
7.1,18.37,19.46,18.89,46.83,12.76,18.79,5.103,5.247,1.0,0.389,0.0,,
7.15,18.55,19.35,19.03,46.85,13.01,19.06,5.153,5.286,1.0,0.778,0.0,,
7.2,18.71,19.58,19.15,46.86,13.27,19.33,5.197,5.319,0.889,0.667,0.0,,
7.25,18.83,19.46,19.24,46.87,13.53,19.6,5.231,5.344,0.667,0.5,0.0,,
7.3,18.9,19.67,19.31,46.88,13.79,19.87,5.25,5.364,0.389,0.389,0.0,,
7.35,18.95,19.54,19.38,46.89,14.06,20.14,5.264,5.383,0.278,0.389,0.0,,
7.4,19.01,19.75,19.44,46.9,14.32,20.42,5.281,5.4,0.333,0.333,0.0,,
7.45,19.1,19.91,19.53,46.91,14.59,20.7,5.306,5.425,0.5,0.5,0.0,,
7.5,19.21,20.08,19.6,46.92,14.85,20.97,5.336,5.444,0.611,0.389,0.0,,
7.55,19.36,19.91,19.67,46.93,15.12,21.25,5.378,5.464,0.833,0.389,0.0,,
7.6,19.54,20.08,19.73,46.94,15.39,21.53,5.428,5.481,1.0,0.333,0.0,,
7.65,19.73,19.91,19.79,46.94,15.66,21.81,5.481,5.497,1.056,0.333,0.0,,
7.7,19.94,20.08,19.84,46.95,15.94,22.08,5.539,5.511,1.167,0.278,0.0,,
7.75,20.14,19.91,19.88,46.94,16.22,22.36,5.594,5.522,1.111,0.222,0.0,,
7.8,20.33,20.08,19.92,46.94,16.5,22.64,5.647,5.533,1.056,0.222,0.0,,
7.85,20.49,19.91,19.96,46.94,16.78,22.92,5.692,5.544,0.889,0.222,0.0,,
7.9,20.61,20.08,19.99,46.93,17.07,23.2,5.725,5.553,0.667,0.167,0.0,,
7.95,20.67,19.91,19.99,46.92,17.36,23.47,5.742,5.553,0.333,0.0,0.0,,
8.0,20.68,20.08,19.99,46.91,17.64,23.75,5.744,5.553,0.056,0.0,0.0,,
8.05,20.64,19.91,19.99,46.9,17.93,24.03,5.733,5.553,-0.222,0.0,0.0,,
8.1,20.57,20.08,19.99,46.89,18.22,24.31,5.714,5.553,-0.389,0.0,0.0,,
8.15,20.49,19.91,19.99,46.88,18.5,24.58,5.692,5.553,-0.444,0.0,0.0,,
8.2,20.43,20.08,19.99,46.88,18.78,24.86,5.675,5.553,-0.333,0.0,0.0,,
8.25,20.39,19.91,19.99,46.87,19.07,25.14,5.664,5.553,-0.222,0.0,0.0,,
8.3,20.38,20.08,19.99,46.87,19.35,25.42,5.661,5.553,-0.056,0.0,0.0,,
8.35,20.39,19.91,19.99,46.86,19.63,25.69,5.664,5.553,0.056,0.0,0.0,,
