Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.0,0.15,1.76,1.76,40.99,0.0,0.0,107.01,133.0,148.0,133.44,0.04,0.49,,,,,,,,,0.0
0.05,0.18,1.76,1.76,40.99,0.0,0.01,107.02,133.0,148.0,133.44,0.05,0.49,0.182,0.0,0.06,0.0,,,,,0.0
0.1,0.15,1.76,1.76,40.99,0.0,0.03,107.02,133.0,148.0,133.44,0.04,0.49,-0.181,0.001,0.04,0.0,-0.4,0.0,0.4,,0.0
0.15000000000000002,0.0,1.77,1.76,40.99,0.01,0.04,107.02,133.0,148.0,133.44,0.0,0.49,-0.798,0.003,0.0,0.0,-0.8,0.0,0.8,7.996,0.0
0.2,0.0,1.77,1.77,40.99,0.01,0.06,107.02,133.0,148.0,133.44,0.0,0.49,-0.001,0.005,0.0,0.0,0.0,0.0,0.0,-15.991,0.0
0.25,0.14,1.78,1.77,40.99,0.01,0.07,107.02,133.0,148.01,133.44,0.04,0.49,0.744,0.01,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.30000000000000004,0.24,1.79,1.77,40.99,0.01,0.09,107.02,133.0,148.01,133.44,0.07,0.49,0.596,0.015,0.06,0.0,0.803,0.0,0.803,8.057,0.0
0.35000000000000003,0.3,1.8,1.77,40.99,0.01,0.1,107.03,133.0,148.02,133.44,0.08,0.49,0.346,0.022,0.08,0.0,0.397,0.0,0.397,-8.118,0.0
0.4,0.34,1.82,1.78,41.0,0.02,0.12,107.03,133.0,148.02,133.44,0.09,0.49,0.186,0.029,0.1,0.02,0.4,0.403,0.568,3.416,0.0
0.45,0.35,1.85,1.79,41.0,0.02,0.14,107.04,133.0,148.03,133.44,0.1,0.5,0.084,0.038,0.08,0.0,-0.397,-0.403,0.565,-0.043,0.0
0.5,0.36,1.88,1.8,41.0,0.03,0.15,107.04,133.0,148.04,133.44,0.1,0.5,0.02,0.065,0.1,0.0,0.397,0.0,0.397,-3.373,0.0
0.55,0.19,1.92,1.81,41.01,0.03,0.17,107.04,133.0,148.05,133.44,0.05,0.5,-0.901,0.088,0.1,0.0,-0.0,0.0,0.0,-7.935,0.0
0.6000000000000001,0.23,1.97,1.83,41.02,0.04,0.19,107.05,133.0,148.06,133.44,0.07,0.51,0.219,0.113,0.06,0.0,-0.8,0.0,0.8,15.991,0.0
0.65,0.07,2.02,1.86,41.03,0.04,0.21,107.05,133.0,148.07,133.44,0.02,0.52,-0.894,0.142,0.02,0.0,-0.797,0.0,0.797,-0.061,0.0
0.7000000000000001,0.17,2.08,1.89,41.04,0.04,0.23,107.05,133.0,148.09,133.44,0.05,0.53,0.527,0.173,0.04,0.0,0.397,0.0,0.397,-7.996,0.0
0.75,0.04,2.15,1.93,41.06,0.04,0.26,107.05,133.0,148.11,133.44,0.01,0.54,-0.729,0.206,0.02,0.0,-0.4,0.0,0.4,0.061,0.0
0.8,0.15,2.22,1.97,41.08,0.04,0.28,107.05,133.0,148.13,133.44,0.04,0.55,0.618,0.241,0.04,0.0,0.4,0.0,0.4,-0.0,0.0
0.8500000000000001,0.03,2.3,2.02,41.09,0.04,0.3,107.06,133.0,148.15,133.44,0.01,0.56,-0.653,0.276,0.02,0.0,-0.4,0.0,0.4,0.0,0.0
0.9,0.15,2.38,2.08,41.12,0.04,0.33,107.06,133.0,148.17,133.44,0.04,0.58,0.679,0.31,0.02,0.02,0.0,0.397,0.397,-0.061,0.0
0.9500000000000001,0.04,2.47,2.14,41.14,0.04,0.36,107.06,133.0,148.19,133.44,0.01,0.59,-0.624,0.344,0.02,0.0,-0.0,-0.397,0.397,-0.0,0.0
1.0,0.16,2.56,2.21,41.16,0.05,0.39,107.06,133.0,148.22,133.44,0.05,0.61,0.68,0.378,0.04,0.0,0.4,0.0,0.4,0.061,0.0
