Time (s),Ego Speed (km/h),Ego Speed (m/s),Lead Speed (km/h),Smoothed Lead Speed (m/s),Smoothed Lead Speed (km/h),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Distance Between (m),Lead Braking Distance (m),Braking Phase,RSS Safety Distance (m)
0.0,0.05,0.01,7.06,1.96,7.06,,,1.5,0.0,0.0,41.01,19.81,,0.0
0.05,0.07,0.02,1.76,1.23,4.41,0.149,-14.7,1.5,0.0,0.01,41.0,,,0.0
0.1,0.04,0.01,1.76,0.98,3.53,-0.173,-4.9,1.5,0.0,0.03,41.0,,,0.0
0.15000000000000002,0.08,0.02,1.76,0.86,3.09,0.222,-2.449,1.5,0.0,0.04,41.0,,,0.0
0.2,0.03,0.01,1.77,0.78,2.82,-0.294,-1.468,1.5,0.0,0.06,41.01,,,0.0
0.25,0.1,0.03,1.77,0.74,2.65,0.387,-0.975,1.5,0.0,0.07,41.01,,,0.0
0.30000000000000004,0.01,0.0,1.78,0.7,2.52,-0.496,-0.691,1.5,0.0,0.09,41.01,,,0.0
0.35000000000000003,0.12,0.03,1.79,0.68,2.43,0.614,-0.511,1.5,0.0,0.1,41.01,,,0.0
0.4,0.01,0.0,1.8,0.66,2.36,-0.585,-0.388,1.5,0.0,0.12,41.02,,,0.0
0.45,0.15,0.04,1.82,0.64,2.31,0.733,-0.3,1.5,0.01,0.14,41.02,,,0.0
0.5,0.05,0.01,1.85,0.5,1.79,-0.537,-2.893,1.5,0.01,0.15,41.03,,,0.0
0.55,0.19,0.05,1.88,0.5,1.8,0.786,0.065,1.5,0.01,0.17,41.03,,,0.0
0.6000000000000001,0.11,0.03,1.92,0.5,1.81,-0.448,0.087,1.5,0.01,0.19,41.04,,,0.0
0.65,0.27,0.07,1.97,0.51,1.83,0.858,0.112,1.5,0.01,0.21,41.05,,,0.0
0.7000000000000001,0.28,0.08,2.02,0.52,1.86,0.067,0.141,1.5,0.02,0.23,41.06,,,0.0
0.75,0.52,0.14,2.08,0.53,1.89,1.342,0.172,1.5,0.02,0.25,41.07,,,0.0
0.8,0.72,0.2,2.14,0.54,1.93,1.139,0.204,1.5,0.03,0.27,41.08,,,0.0
0.8500000000000001,0.87,0.24,2.21,0.55,1.97,0.837,0.237,1.5,0.05,0.29,41.08,,,0.0
0.9,0.89,0.25,2.29,0.56,2.02,0.097,0.272,1.5,0.06,0.32,41.09,,,0.0
0.9500000000000001,1.02,0.28,2.37,0.58,2.07,0.725,0.306,1.5,0.07,0.35,41.1,,,0.0
1.0,1.04,0.29,2.46,0.59,2.13,0.081,0.339,1.5,0.09,0.37,41.11,,,0.0
1.05,1.08,0.3,2.55,0.61,2.2,0.218,0.371,1.5,0.1,0.4,41.12,,,0.0
1.1,1.16,0.32,2.64,0.63,2.27,0.487,0.402,1.5,0.11,0.43,41.13,,,0.0
1.1500000000000001,1.28,0.36,2.75,0.65,2.35,0.654,0.433,1.5,0.13,0.47,41.15,,,0.0
1.2000000000000002,1.36,0.38,2.69,0.67,2.42,0.445,0.37,1.5,0.15,0.5,41.16,,,0.0
1.25,1.5,0.42,2.42,0.68,2.45,0.776,0.191,1.5,0.17,0.53,41.17,,,0.0
1.3,1.55,0.43,2.84,0.7,2.52,0.25,0.389,1.5,0.19,0.57,41.19,,,0.0
1.35,1.77,0.49,2.64,0.71,2.57,1.222,0.237,1.5,0.21,0.61,41.2,,,0.0
1.4000000000000001,1.86,0.52,3.1,0.73,2.65,0.53,0.448,1.5,0.24,0.65,41.21,,,0.0
1.4500000000000002,2.06,0.57,2.87,0.75,2.7,1.078,0.278,1.5,0.27,0.69,41.23,,,0.0
