Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.01,7.06,7.06,11.02,0.0,0.0,0.003,1.961,,,1.5,0.98,
0.05,0.01,8.82,7.94,11.01,0.0,0.11,0.003,2.206,0.0,4.889,1.5,,
0.1,0.01,10.58,8.82,11.01,0.0,0.25,0.003,2.45,0.0,4.889,1.5,,
0.15,0.0,10.75,9.3,11.01,0.0,0.41,0.0,2.583,-0.056,2.667,1.5,,
0.2,0.0,7.77,9.0,11.01,0.0,0.53,0.0,2.5,0.0,-1.667,1.5,,
0.25,0.0,4.89,8.31,11.01,0.0,0.61,0.0,2.308,0.0,-3.833,1.5,,
0.3,0.0,0.29,7.17,11.01,0.0,0.64,0.0,1.992,0.0,-6.333,1.5,,
0.35,0.0,1.26,6.43,11.01,0.0,0.65,0.0,1.786,0.0,-4.111,1.5,,
0.4,0.0,1.82,5.92,11.01,0.0,0.68,0.0,1.644,0.0,-2.833,1.5,,
0.45,0.0,2.03,5.53,11.01,0.0,0.7,0.0,1.536,0.0,-2.167,1.5,,
0.5,0.0,1.97,5.02,11.01,0.0,0.73,0.0,1.394,0.0,-2.833,1.5,,
0.55,0.0,1.73,4.31,11.01,0.0,0.76,0.0,1.197,0.0,-3.944,1.5,,
0.6,0.0,1.39,3.39,11.01,0.0,0.78,0.0,0.942,0.0,-5.111,1.5,,
0.65,0.0,1.01,2.41,11.01,0.0,0.8,0.0,0.669,0.0,-5.444,1.5,,
0.7,0.0,0.64,1.7,11.01,0.0,0.81,0.0,0.472,0.0,-3.944,1.5,,
0.75,0.0,0.32,1.24,11.01,0.0,0.81,0.0,0.344,0.0,-2.556,1.5,,
0.8,0.0,0.06,1.22,11.01,0.0,0.81,0.0,0.339,0.0,-0.111,1.5,,
0.85,0.0,0.13,1.11,11.01,0.0,0.82,0.0,0.308,0.0,-0.611,1.5,,
0.9,0.0,0.25,0.95,11.01,0.0,0.82,0.0,0.264,0.0,-0.889,1.5,,
0.95,0.0,0.31,0.78,11.01,0.0,0.82,0.0,0.217,0.0,-0.944,1.5,,
1.0,0.0,0.32,0.61,11.01,0.0,0.83,0.0,0.169,0.0,-0.944,1.5,,
1.05,0.0,0.29,0.47,11.01,0.0,0.83,0.0,0.131,0.0,-0.778,1.5,,
1.1,0.0,0.24,0.36,11.01,0.0,0.83,0.0,0.1,0.0,-0.611,1.5,,
1.15,0.0,0.19,0.27,11.01,0.0,0.84,0.0,0.075,0.0,-0.5,1.5,,
1.2,0.0,0.13,0.22,11.01,0.0,0.84,0.0,0.061,0.0,-0.278,1.5,,
1.25,0.0,0.07,0.2,11.01,0.0,0.84,0.0,0.056,0.0,-0.111,1.5,,
1.3,0.0,0.03,0.19,11.01,0.0,0.84,0.0,0.053,0.0,-0.056,1.5,,
1.35,0.0,0.01,0.18,11.01,0.0,0.84,0.0,0.05,0.0,-0.056,1.5,,
1.4,0.0,0.03,0.16,11.01,0.0,0.84,0.0,0.044,0.0,-0.111,1.5,,
1.45,0.0,0.0,0.13,11.01,0.0,0.84,0.0,0.036,0.0,-0.167,1.5,,
1.5,0.0,0.0,0.1,11.01,0.0,0.84,0.0,0.028,0.0,-0.167,1.5,,
1.55,0.0,0.0,0.07,11.01,0.0,0.84,0.0,0.019,0.0,-0.167,1.5,,
1.6,0.0,0.0,0.05,11.01,0.0,0.84,0.0,0.014,0.0,-0.111,1.5,,
1.65,0.0,0.0,0.03,11.01,0.0,0.84,0.0,0.008,0.0,-0.111,1.5,,
1.7,0.0,0.0,0.01,11.01,0.0,0.84,0.0,0.003,0.0,-0.111,1.5,,
1.75,0.0,0.0,0.01,11.01,0.0,0.84,0.0,0.003,0.0,0.0,1.5,,
1.8,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,-0.056,1.5,,
1.85,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,1.5,,
1.9,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
1.95,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.0,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.05,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.1,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.15,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.2,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.25,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.3,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.35,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.4,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.45,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.5,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
2.55,0.0,0.0,0.0,11.01,0.0,0.84,0.0,0.0,0.0,0.0,0.0,,
