Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.0,7.06,7.06,36.01,0.0,0.0,0.0,1.961,,,1.5,4.17,
0.05,0.0,8.82,7.94,36.0,0.0,0.11,0.0,2.206,0.0,4.889,1.5,,
0.1,0.0,10.58,8.82,36.0,0.0,0.25,0.0,2.45,0.0,4.889,1.5,,
0.15,0.0,10.75,9.3,36.0,0.0,0.41,0.0,2.583,0.0,2.667,1.5,,
0.2,0.0,7.77,9.0,36.0,0.0,0.53,0.0,2.5,0.0,-1.667,1.5,,
0.25,0.0,4.89,8.31,36.0,0.0,0.61,0.0,2.308,0.0,-3.833,1.5,,
0.3,0.0,0.29,7.17,36.0,0.0,0.64,0.0,1.992,0.0,-6.333,1.5,,
0.35,0.0,1.26,6.43,36.0,0.0,0.65,0.0,1.786,0.0,-4.111,1.5,,
0.4,0.0,1.82,5.92,36.0,0.0,0.68,0.0,1.644,0.0,-2.833,1.5,,
0.45,0.0,2.03,5.53,36.0,0.0,0.7,0.0,1.536,0.0,-2.167,1.5,,
0.5,0.0,1.97,5.02,36.0,0.0,0.73,0.0,1.394,0.0,-2.833,1.5,,
0.55,0.0,1.73,4.31,36.0,0.0,0.76,0.0,1.197,0.0,-3.944,1.5,,
0.6,0.0,1.39,3.39,36.0,0.0,0.78,0.0,0.942,0.0,-5.111,1.5,,
0.65,0.0,1.01,2.41,36.0,0.0,0.8,0.0,0.669,0.0,-5.444,1.5,,
0.7,0.0,0.64,1.7,36.0,0.0,0.81,0.0,0.472,0.0,-3.944,1.5,,
0.75,0.0,0.32,1.24,36.0,0.0,0.81,0.0,0.344,0.0,-2.556,1.5,,
0.8,0.02,0.06,1.22,36.0,0.0,0.81,0.006,0.339,0.111,-0.111,1.5,,
0.85,0.02,0.17,1.11,36.0,0.0,0.82,0.006,0.308,0.0,-0.611,1.5,,
0.9,0.02,0.15,0.95,36.0,0.0,0.82,0.006,0.264,0.0,-0.889,1.5,,
0.95,0.02,0.15,0.76,36.0,0.0,0.82,0.006,0.211,0.0,-1.056,1.5,,
1.0,0.0,0.14,0.57,36.0,0.0,0.82,0.0,0.158,-0.111,-1.056,1.5,,
1.05,0.04,0.13,0.41,36.0,0.0,0.82,0.011,0.114,0.222,-0.889,1.5,,
1.1,0.01,0.12,0.29,36.0,0.0,0.82,0.003,0.081,-0.167,-0.667,1.5,,
