Frame,Actor_206,Ego_Vehicle
319,19.1,19.03
320,20.89,19.07
321,19.1,19.08
322,20.89,19.08
323,19.1,19.1
324,20.89,19.17
325,19.1,19.3
326,20.89,19.47
327,19.1,19.68
328,20.89,19.89
329,19.1,20.1
330,20.89,20.28
331,19.1,20.42
332,20.89,20.51
333,19.1,20.54
334,20.89,20.52
335,19.1,20.46
336,20.89,20.4
337,19.1,20.34
338,20.89,20.31
339,19.1,20.31
340,20.89,20.33
341,19.1,20.35
342,20.89,20.38
343,19.1,20.39
344,20.89,20.37
345,19.1,20.33
346,20.89,20.27
347,19.1,20.19
348,20.89,20.1
349,19.1,20.02
350,20.89,19.96
351,19.1,19.94
352,20.89,19.95
353,19.1,19.98
354,20.89,20.03
355,19.1,20.1
356,20.89,20.17
357,19.1,20.22
358,20.89,20.23
359,19.1,20.19
360,20.89,20.1
361,19.1,19.98
362,20.89,19.84
363,19.1,19.7
364,20.89,19.59
365,19.1,19.54
366,20.89,19.56
367,19.1,19.65
368,20.89,19.78
369,19.1,19.92
370,20.89,20.04
371,19.1,20.13
372,20.89,20.18
373,19.1,20.17
374,20.89,20.11
375,19.1,20.0
376,20.89,19.86
377,19.1,19.69
378,20.89,19.52
379,19.1,19.38
380,20.89,19.31
381,19.1,19.33
382,20.89,19.42
383,19.1,19.54
384,20.89,19.66
385,19.1,19.77
386,20.89,19.86
387,19.1,19.92
388,20.89,19.96
389,19.1,19.98
390,20.89,19.99
391,19.1,20.0
392,20.89,20.03
393,19.1,20.08
394,20.89,20.13
395,19.1,20.17
396,20.89,20.19
397,19.1,20.18
398,20.89,20.14
399,19.1,20.08
400,20.89,20.0
401,19.1,19.92
402,20.89,19.84
403,19.1,19.81
404,20.89,19.81
405,19.1,19.87
406,20.89,19.96
407,19.1,20.09
408,20.89,20.24
409,19.1,20.39
410,20.89,20.51
411,19.1,20.58
412,20.89,20.57
413,19.1,20.52
414,20.89,20.44
415,19.1,20.34
416,20.89,20.25
417,19.1,20.17
418,20.89,20.11
419,19.1,20.07
420,20.89,20.06
421,19.1,20.05
422,20.89,20.04
423,19.1,20.02
424,20.89,19.99
425,19.1,19.93
426,20.89,19.85
427,19.1,19.77
428,20.89,19.7
429,19.1,19.64
430,20.89,19.61
431,19.1,19.62
432,20.89,19.65
433,19.1,19.72
434,20.89,19.8
435,19.1,19.89
436,20.89,19.97
437,19.1,20.03
438,20.89,20.07
439,19.1,20.09
440,20.89,20.09
441,19.1,20.07
442,20.89,20.02
443,19.1,19.96
444,20.89,19.89
445,19.1,19.82
446,20.89,19.79
447,19.1,19.8
448,20.89,19.85
449,19.1,19.94
450,20.89,20.04
451,19.1,20.15
452,20.89,20.25
453,19.1,20.3
454,20.89,20.3
455,19.1,20.25
456,20.89,20.15
457,19.1,20.03
458,20.89,19.89
459,19.1,19.79
460,20.89,19.73
461,19.1,19.7
462,20.89,19.71
463,19.1,19.76
464,20.89,19.85
465,19.1,19.96
466,20.89,20.07
467,19.1,20.18
468,20.89,20.27
469,19.1,20.33
470,20.89,20.34
471,19.1,20.3
472,20.89,20.22
473,19.1,20.1
474,20.89,19.97
475,19.1,19.84
476,20.89,19.74
477,19.1,19.67
478,20.89,19.66
479,19.1,19.71
480,20.89,19.81
481,19.1,19.96
482,20.89,20.11
483,19.1,20.25
484,20.89,20.36
485,19.1,20.4
486,20.89,20.38
487,19.1,20.3
488,20.89,20.17
489,19.1,20.03
490,20.89,19.89
491,19.1,19.78
492,20.89,19.71
493,19.1,19.71
494,20.89,19.76
495,19.1,19.86
496,20.89,20.01
497,19.1,20.17
498,20.89,20.31
499,19.1,20.4
500,20.89,20.42
501,19.1,20.37
502,20.89,20.24
503,19.1,20.08
504,20.89,19.89
505,19.1,19.72
506,20.89,19.6
507,19.1,19.52
508,20.89,19.49
509,19.1,19.49
510,20.89,19.53
511,19.1,19.59
512,20.89,19.67
513,19.1,19.74
514,20.89,19.81
515,19.1,19.88
516,20.89,19.93
517,19.1,19.96
518,20.89,20.0
519,19.1,20.04
520,20.89,20.08
521,19.1,20.11
522,20.89,20.12
523,19.1,20.11
524,20.89,20.08
525,19.1,20.02
526,20.89,19.95
527,19.1,19.89
528,20.0,19.85
529,18.0,19.84
530,18.09,19.87
531,16.04,19.95
532,15.08,20.05
533,13.41,20.16
534,12.53,20.26
535,10.78,20.33
536,9.93,20.37
537,8.11,20.37
538,7.28,20.3
539,5.35,20.18
540,4.51,20.02
541,2.38,19.86
542,1.16,19.71
543,0.0,19.59
544,0.0,19.51
545,0.0,19.47
546,0.01,19.48
547,0.0,19.53
548,0.0,19.58
549,0.0,19.61
550,0.0,19.59
551,0.0,19.51
552,0.0,19.39
553,0.0,19.22
554,0.0,19.03
555,0.0,18.84
556,0.0,18.65
557,0.0,18.51
558,0.0,18.45
559,0.0,18.47
560,0.0,18.54
