Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.0,7.06,7.06,31.01,0.0,0.0,0.0,1.961,,,1.5,4.07,
0.05,0.0,8.82,7.94,31.01,0.0,0.11,0.0,2.206,0.0,4.889,1.5,,
0.1,0.0,10.58,8.82,31.0,0.0,0.25,0.0,2.45,0.0,4.889,1.5,,
0.15,0.0,10.75,9.3,31.0,0.0,0.41,0.0,2.583,0.0,2.667,1.5,,
0.2,0.0,7.77,9.0,31.0,0.0,0.53,0.0,2.5,0.0,-1.667,1.5,,
0.25,0.0,4.89,8.31,31.0,0.0,0.61,0.0,2.308,0.0,-3.833,1.5,,
0.3,0.0,0.29,7.17,31.0,0.0,0.64,0.0,1.992,0.0,-6.333,1.5,,
0.35,0.01,1.26,6.43,31.0,0.0,0.65,0.003,1.786,0.056,-4.111,1.5,,
0.4,0.03,0.96,5.82,31.0,0.0,0.66,0.008,1.617,0.111,-3.389,1.5,,
0.45,0.01,0.91,5.33,31.0,0.0,0.67,0.003,1.481,-0.111,-2.722,1.5,,
0.5,0.03,0.85,4.71,31.0,0.0,0.68,0.008,1.308,0.111,-3.444,1.5,,
0.55,0.03,0.8,3.91,31.0,0.0,0.69,0.008,1.086,0.0,-4.444,1.5,,
0.6,0.02,0.75,2.92,31.0,0.0,0.69,0.006,0.811,-0.056,-5.5,1.5,,
0.65,0.01,0.7,1.92,31.0,0.0,0.7,0.003,0.533,-0.056,-5.556,1.5,,
0.7,0.04,0.66,1.21,31.0,0.0,0.7,0.011,0.336,0.167,-3.944,1.5,,
0.75,0.02,0.62,0.78,31.0,0.0,0.71,0.006,0.217,-0.111,-2.389,1.5,,
0.8,0.07,0.58,0.81,31.0,0.0,0.71,0.019,0.225,0.278,0.167,1.5,,
0.85,0.05,0.55,0.74,31.0,0.0,0.72,0.014,0.206,-0.111,-0.389,1.5,,
0.9,0.1,0.51,0.69,31.0,0.0,0.72,0.028,0.192,0.278,-0.278,1.5,,
0.95,0.09,0.48,0.65,31.0,0.01,0.73,0.025,0.181,-0.056,-0.222,1.5,,
1.0,0.14,0.8,0.65,31.01,0.01,0.74,0.039,0.181,0.278,0.0,1.5,,
1.05,0.12,1.35,0.7,31.02,0.01,0.76,0.033,0.194,-0.111,0.278,1.5,,
1.1,0.18,0.86,0.71,31.03,0.01,0.77,0.05,0.197,0.333,0.056,1.5,,
1.15,0.16,1.56,0.8,31.05,0.01,0.79,0.044,0.222,-0.111,0.5,1.5,,
1.2,0.22,1.08,0.84,31.06,0.02,0.81,0.061,0.233,0.333,0.222,1.5,,
1.25,0.21,1.8,0.96,31.08,0.02,0.83,0.058,0.267,-0.056,0.667,1.5,,
1.3,0.27,1.33,1.03,31.1,0.02,0.85,0.075,0.286,0.333,0.389,1.5,,
1.35,0.66,2.05,1.18,31.12,0.03,0.88,0.183,0.328,2.167,0.833,1.5,,
1.4,0.93,1.59,1.29,31.13,0.04,0.9,0.258,0.358,1.5,0.611,1.5,,
1.45,1.05,2.32,1.47,31.15,0.06,0.93,0.292,0.408,0.667,1.0,1.5,,
1.5,1.04,1.87,1.58,31.16,0.07,0.96,0.289,0.439,-0.056,0.611,1.5,,
1.55,1.19,2.6,1.71,31.18,0.09,0.99,0.331,0.475,0.833,0.722,1.5,,
1.6,1.24,2.16,1.84,31.19,0.1,1.03,0.344,0.511,0.278,0.722,1.5,,
1.65,1.2,2.89,1.97,31.21,0.12,1.06,0.333,0.547,-0.222,0.722,1.5,,
1.7,1.22,2.45,2.11,31.23,0.14,1.1,0.339,0.586,0.111,0.778,1.5,,
