sid,ego_speed,other_speed,other_distance,timeout,loss,min_ttc,collision,summary_log
1770671903.092-2422,22.444932206763156,13.839738062101574,2.2453492837368936,90.0,1000000.0,,0,
1770671964.584-2514,12.516954108202984,34.236059243396326,13.677559472382672,90.0,1000000.0,,0,
1770671964.585-9079,44.1473464979358,18.875304930728948,19.472178336605545,90.0,41.001354894970696,41.001354894970696,0,
1770672081.788-6559,44.1473464979358,18.875304930728948,19.472178336605545,90.0,2.49204488488541,2.49204488488541,0,
1770672197.561-8032,46.90468217336732,22.736213946095635,11.177928369469967,90.0,2.248790245719163,2.248790245719163,0,
1770672313.579-6662,44.38526726411945,19.20064651095282,19.632961260143468,90.0,2.465893649316988,2.465893649316988,0,
1770672429.418-772,44.1442175726077,18.877060126913417,19.471607225086185,90.0,2.5826532390248502,2.5826532390248502,0,
1770672545.884-9548,46.90468217336732,22.736213946095635,11.177928369469967,90.0,2.2513894399951764,2.2513894399951764,0,
1770672663.241-9685,45.881626058625066,42.82919953754499,3.2873163953670064,90.0,2.2513894399951764,2.2513894399951764,0,
1770672725.432-4240,31.56734382194856,29.98151983156149,13.859013777548244,90.0,1.9057935290692853,1.9057935290692853,0,
1770672841.163-9851,46.89835265141964,22.75584316607775,11.177933083943401,90.0,2.311003048239631,2.311003048239631,0,
1770672957.847-4435,31.56734382194856,29.98151983156149,13.859013777548244,90.0,2.8742814453992747,2.8742814453992747,0,
1770673074.338-8546,33.888972547843736,35.03976670042942,18.7225833879181,90.0,1000000.0,,0,
1770673074.338-9678,31.483073526392772,29.952522788683936,13.733097550161999,90.0,1.9577356563308173,1.9577356563308173,0,
1770673191.112-5639,45.67340560567777,42.779246192942324,3.22407379321991,90.0,1.9577356563308173,1.9577356563308173,0,
1770673252.189-9626,31.483073526392772,29.952522788683936,13.733097550161999,90.0,1.8931217741754944,1.8931217741754944,0,
1770673368.288-2025,13.264885386462826,39.92498918828964,10.482686449652057,90.0,1000000.0,,0,
1770673368.289-6755,31.488002976999745,29.993807173897725,13.610735148352974,90.0,1.9043234826734203,1.9043234826734203,0,
1770673484.800-7528,45.6938753539755,42.81994799512588,3.273223725420268,90.0,1.9043234826734203,1.9043234826734203,0,
1770673547.066-1662,31.488002976999745,29.993807173897725,13.610735148352974,90.0,1.923851225475935,1.923851225475935,0,
1770673663.755-4733,47.43773558206617,31.885501714675513,17.147443452198,90.0,1.9830637625520262,1.9830637625520262,0,
1770673781.020-2947,31.456440084340777,29.844139831604146,13.3022308840395,90.0,2.0185366555952164,2.0185366555952164,0,
1770673897.738-4633,31.63308397206906,29.688631485187955,13.302826581836047,90.0,1.909484314168986,1.909484314168986,0,
