sid,ego_speed,other_speed,other_distance,timeout,min_ttc,collision,loss
1770747055.251-1621,52.02796774090074,31.588213924017463,10.407137649666407,90.0,,0,1000000.0
1770747205.740-3354,52.20260423475477,31.997609454672766,9.99103314821917,90.0,,0,1000000.0
1770747355.975-4179,36.77418315243381,24.923945141534464,18.297223326523746,90.0,2.164129039268882,0,2.164129039268882
1770747507.445-5630,41.70340829446842,12.142128111695598,7.731432552413079,90.0,16.468081146221767,0,16.468081146221767
1770747652.667-2935,36.77418315243381,24.923945141534464,18.297223326523746,90.0,,0,1000000.0
1770747803.203-5558,37.08694128370088,24.825483017573738,18.400688189483642,90.0,,0,1000000.0
1770747953.632-5118,36.85549920648599,24.73548802985475,18.235372750474998,90.0,2.187536241931825,0,2.187536241931825
1770748098.459-5051,36.85549920648599,24.73548802985475,18.235372750474998,90.0,,0,1000000.0
1770748248.860-4507,44.91931738792858,42.579871888848295,17.41461251910781,90.0,,0,1000000.0
1770748398.902-9654,36.79505812593498,24.696510517136865,18.298651865661707,90.0,,0,1000000.0
1770748549.351-7403,36.936174362476166,24.741522351326772,18.27555214692071,90.0,,0,1000000.0
1770748700.422-6862,44.91931738792858,42.579871888848295,17.41461251910781,90.0,,0,1000000.0
1770748853.866-5085,49.53742264627293,27.986349128554927,5.688721954984737,90.0,12.371441666955507,0,12.371441666955507
1770749006.449-1764,35.00643443943707,28.548538400211267,10.296397473276715,90.0,,0,1000000.0
1770749154.024-3706,49.53742264627293,27.986349128554927,5.688721954984737,90.0,,0,1000000.0
1770749299.286-1860,49.733065920502405,28.00878693380573,5.556067655296603,90.0,,0,1000000.0
1770749445.499-8436,50.07019663839258,27.684400658448215,6.19793700781372,90.0,,0,1000000.0
1770749595.414-745,49.733065920502405,28.00878693380573,5.556067655296603,90.0,12.371444543790915,0,12.371444543790915
1770749727.517-1365,20.118258632852722,19.552026644938888,7.2477997852039735,90.0,,0,1000000.0
1770749877.523-8311,44.85610555797291,23.079849413444933,6.073210867021198,90.0,,0,1000000.0
1770750027.528-1738,20.118258632852722,19.552026644938888,7.2477997852039735,90.0,,0,1000000.0
1770750177.744-7304,44.85610555797291,23.079849413444933,6.073210867021198,90.0,,0,1000000.0
1770750323.773-5277,15.186692360812293,13.923076339574738,13.941993333059349,90.0,,0,1000000.0
1770750471.297-3377,20.11911378770938,6.996144991827057,12.470364038492551,90.0,,0,1000000.0
1770750616.884-3312,50.57128863480448,31.60508972348525,2.6778600251703715,90.0,12.371444543790915,0,12.371444543790915
1770750681.697-8135,50.57128863480448,31.60508972348525,2.6778600251703715,90.0,12.371444543790915,0,12.371444543790915
1770750744.193-1805,15.186692360812293,13.923076339574738,13.941993333059349,90.0,,0,1000000.0
1770750894.255-166,54.74247950071273,37.82718340497537,0.1997843051649748,90.0,12.371444543790915,0,12.371444543790915
1770750966.393-6793,50.57128863480448,31.60508972348525,2.6778600251703715,90.0,12.371444543790915,0,12.371444543790915
1770751032.305-102,49.21855035298403,26.598152397599556,3.8949527851321637,90.0,12.371444543790915,0,12.371444543790915
1770751095.637-9766,50.57128863480448,31.60508972348525,2.6778600251703715,90.0,,0,1000000.0
1770751280.184-3602,47.92262451762586,13.141794094275042,10.285757364818714,90.0,2.9379161097625257,0,2.9379161097625257
1770751432.870-4782,50.47736612928672,31.472645210359662,2.466134231581218,90.0,2.9379161097625257,0,2.9379161097625257
1770751498.478-1180,50.59573123831958,31.490844474924348,2.7103720927171695,90.0,2.9379161097625257,0,2.9379161097625257
1770751561.833-3375,47.92262451762586,13.141794094275042,10.285757364818714,90.0,2.8954492286203237,0,2.8954492286203237
1770751712.354-1542,38.649113482746245,15.568672324281444,19.5078928663914,90.0,,0,1000000.0
1770751862.186-4440,48.16666200255212,13.253958845889933,10.647961354437996,90.0,2.9169285640496865,0,2.9169285640496865
1770752009.137-8824,48.16666200255212,13.253958845889933,10.647961354437996,90.0,,0,1000000.0
1770752162.517-5593,48.15612275542668,13.388119868520448,10.589007360856188,90.0,,0,1000000.0
1770752316.290-9219,42.59843560617834,30.928008126375758,11.477157627017093,90.0,,0,1000000.0
1770752466.248-8981,56.57164263274759,32.959712559416104,9.516337354042944,90.0,3.757246045657579,0,3.757246045657579
1770752603.098-3607,56.57164263274759,32.959712559416104,9.516337354042944,90.0,,0,1000000.0
1770752750.309-7090,28.97410772917777,11.072670241161191,10.718362137223725,90.0,,0,1000000.0
1770752902.524-3435,42.06627195434203,24.896908209302225,16.351155969382567,90.0,,0,1000000.0
