Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.0,7.06,7.06,16.01,0.0,0.0,0.0,1.961,,,1.5,4.01,
0.05,0.0,8.82,7.94,16.01,0.0,0.11,0.0,2.206,0.0,4.889,1.5,,
0.1,0.0,10.58,8.82,16.01,0.0,0.25,0.0,2.45,0.0,4.889,1.5,,
0.15,0.0,10.75,9.3,16.01,0.0,0.41,0.0,2.583,0.0,2.667,1.5,,
0.2,0.0,7.77,9.0,16.01,0.0,0.53,0.0,2.5,0.0,-1.667,1.5,,
0.25,0.0,4.89,8.31,16.01,0.0,0.61,0.0,2.308,0.0,-3.833,1.5,,
0.3,0.0,0.29,7.17,16.01,0.0,0.64,0.0,1.992,0.0,-6.333,1.5,,
0.35,0.01,1.26,6.43,16.01,0.0,0.65,0.003,1.786,0.056,-4.111,1.5,,
0.4,0.02,0.96,5.82,16.01,0.0,0.66,0.006,1.617,0.056,-3.389,1.5,,
0.45,0.01,0.91,5.33,16.01,0.0,0.67,0.003,1.481,-0.056,-2.722,1.5,,
0.5,0.03,0.85,4.71,16.01,0.0,0.68,0.008,1.308,0.111,-3.444,1.5,,
0.55,0.03,0.8,3.91,16.01,0.0,0.69,0.008,1.086,0.0,-4.444,1.5,,
0.6,0.02,0.75,2.92,16.01,0.0,0.69,0.006,0.811,-0.056,-5.5,1.5,,
0.65,0.01,0.7,1.92,16.01,0.0,0.7,0.003,0.533,-0.056,-5.556,1.5,,
0.7,0.04,0.66,1.21,16.0,0.0,0.7,0.011,0.336,0.167,-3.944,1.5,,
0.75,0.02,0.62,0.78,16.0,0.0,0.71,0.006,0.217,-0.111,-2.389,1.5,,
0.8,0.07,0.58,0.81,16.0,0.0,0.71,0.019,0.225,0.278,0.167,1.5,,
0.85,0.05,0.55,0.74,16.0,0.0,0.72,0.014,0.206,-0.111,-0.389,1.5,,
0.9,0.09,0.51,0.69,16.0,0.0,0.72,0.025,0.192,0.222,-0.278,1.5,,
0.95,0.08,0.48,0.65,16.0,0.01,0.73,0.022,0.181,-0.056,-0.222,1.5,,
1.0,0.13,0.78,0.64,16.01,0.01,0.74,0.036,0.178,0.278,-0.056,1.5,,
1.05,0.11,1.3,0.69,16.02,0.01,0.76,0.031,0.192,-0.111,0.278,1.5,,
1.1,0.17,0.81,0.7,16.03,0.01,0.77,0.047,0.194,0.333,0.056,1.5,,
1.15,0.16,1.5,0.78,16.05,0.01,0.79,0.044,0.217,-0.056,0.444,1.5,,
1.2,0.22,1.01,0.81,16.06,0.02,0.8,0.061,0.225,0.333,0.167,1.5,,
1.25,0.21,1.72,0.92,16.08,0.02,0.83,0.058,0.256,-0.056,0.611,1.5,,
1.3,0.27,1.24,0.99,16.1,0.02,0.85,0.075,0.275,0.333,0.389,1.5,,
1.35,0.62,1.96,1.13,16.12,0.03,0.87,0.172,0.314,1.944,0.778,1.5,,
1.4,0.94,1.48,1.23,16.13,0.04,0.89,0.261,0.342,1.778,0.556,1.5,,
1.45,1.03,2.2,1.4,16.14,0.05,0.92,0.286,0.389,0.5,0.944,1.5,,
1.5,1.19,1.74,1.5,16.15,0.07,0.95,0.331,0.417,0.889,0.556,1.5,,
1.55,1.3,2.46,1.61,16.17,0.09,0.98,0.361,0.447,0.611,0.611,1.5,,
1.6,1.47,2.01,1.73,16.18,0.1,1.01,0.408,0.481,0.944,0.667,1.5,,
1.65,1.49,2.73,1.85,16.19,0.13,1.05,0.414,0.514,0.111,0.667,1.5,,
1.7,1.57,2.28,1.98,16.2,0.15,1.08,0.436,0.55,0.444,0.722,1.5,,
1.75,1.74,2.99,2.11,16.22,0.17,1.12,0.483,0.586,0.944,0.722,1.5,,
1.8,1.97,2.55,2.24,16.23,0.2,1.16,0.547,0.622,1.278,0.722,1.5,,
1.85,2.17,3.26,2.37,16.25,0.22,1.2,0.603,0.658,1.111,0.722,1.5,,
1.9,2.35,2.83,2.5,16.26,0.26,1.24,0.653,0.694,1.0,0.722,0.0,,
1.95,2.54,3.53,2.64,16.27,0.29,1.29,0.706,0.733,1.056,0.778,0.0,,
2.0,2.75,3.1,2.77,16.28,0.33,1.33,0.764,0.769,1.167,0.722,0.0,,
2.05,2.95,3.8,2.91,16.29,0.37,1.38,0.819,0.808,1.111,0.778,0.0,,
2.1,3.12,3.38,3.05,16.29,0.41,1.43,0.867,0.847,0.944,0.778,0.0,,
2.15,3.23,4.08,3.18,16.31,0.45,1.49,0.897,0.883,0.611,0.722,0.0,,
2.2,3.28,3.65,3.32,16.31,0.5,1.54,0.911,0.922,0.278,0.778,0.0,,
2.25,3.31,4.35,3.45,16.32,0.54,1.6,0.919,0.958,0.167,0.722,0.0,,
2.3,3.34,3.93,3.59,16.34,0.59,1.65,0.928,0.997,0.167,0.778,0.0,,
2.35,3.39,4.63,3.73,16.35,0.64,1.72,0.942,1.036,0.278,0.778,0.0,,
2.4,3.48,4.21,3.87,16.36,0.69,1.78,0.967,1.075,0.5,0.778,0.0,,
2.45,3.6,4.91,4.0,16.38,0.74,1.84,1.0,1.111,0.667,0.722,0.0,,
2.5,3.75,4.49,4.14,16.39,0.79,1.91,1.042,1.15,0.833,0.778,0.0,,
2.55,3.94,5.18,4.28,16.41,0.84,1.98,1.094,1.189,1.056,0.778,0.0,,
2.6,4.16,4.77,4.42,16.42,0.9,2.05,1.156,1.228,1.222,0.778,0.0,,
2.65,4.36,5.46,4.56,16.44,0.96,2.12,1.211,1.267,1.111,0.778,0.0,,
2.7,4.54,5.05,4.7,16.45,1.02,2.19,1.261,1.306,1.0,0.778,0.0,,
2.75,4.68,5.74,4.84,16.46,1.08,2.27,1.3,1.344,0.778,0.778,0.0,,
2.8,4.8,5.34,4.98,16.47,1.15,2.35,1.333,1.383,0.667,0.778,0.0,,
2.85,4.92,6.02,5.12,16.48,1.22,2.43,1.367,1.422,0.667,0.778,0.0,,
2.9,5.05,5.62,5.26,16.49,1.28,2.51,1.403,1.461,0.722,0.778,0.0,,
2.95,5.19,6.31,5.4,16.51,1.36,2.59,1.442,1.5,0.778,0.778,0.0,,
3.0,5.33,5.91,5.54,16.52,1.43,2.68,1.481,1.539,0.778,0.778,0.0,,
3.05,5.47,6.59,5.68,16.54,1.5,2.77,1.519,1.578,0.778,0.778,0.0,,
3.1,5.61,6.21,5.83,16.55,1.58,2.86,1.558,1.619,0.778,0.833,0.0,,
3.15,5.74,6.88,5.97,16.56,1.66,2.95,1.594,1.658,0.722,0.778,0.0,,
3.2,5.85,6.49,6.11,16.57,1.74,3.04,1.625,1.697,0.611,0.778,0.0,,
3.25,5.99,7.16,6.25,16.59,1.82,3.14,1.664,1.736,0.778,0.778,0.0,,
3.3,6.13,6.78,6.4,16.6,1.91,3.24,1.703,1.778,0.778,0.833,0.0,,
3.35,6.28,7.44,6.54,16.62,1.99,3.34,1.744,1.817,0.833,0.778,0.0,,
3.4,6.42,7.06,6.68,16.63,2.08,3.44,1.783,1.856,0.778,0.778,0.0,,
3.45,6.53,7.72,6.83,16.64,2.17,3.54,1.814,1.897,0.611,0.833,0.0,,
3.5,6.65,7.35,6.97,16.65,2.26,3.65,1.847,1.936,0.667,0.778,0.0,,
3.55,6.8,8.0,7.11,16.67,2.36,3.76,1.889,1.975,0.833,0.778,0.0,,
3.6,6.96,7.63,7.25,16.68,2.45,3.86,1.933,2.014,0.889,0.778,0.0,,
3.65,7.12,8.28,7.39,16.7,2.55,3.98,1.978,2.053,0.889,0.778,0.0,,
3.7,7.29,7.92,7.54,16.71,2.65,4.09,2.025,2.094,0.944,0.833,0.0,,
3.75,7.45,8.57,7.68,16.72,2.75,4.21,2.069,2.133,0.889,0.778,0.0,,
3.8,7.59,8.21,7.82,16.73,2.86,4.32,2.108,2.172,0.778,0.778,0.0,,
3.85,7.72,8.85,7.96,16.75,2.97,4.44,2.144,2.211,0.722,0.778,0.0,,
3.9,7.83,8.5,8.1,16.76,3.07,4.56,2.175,2.25,0.611,0.778,0.0,,
3.95,7.95,9.14,8.25,16.78,3.18,4.69,2.208,2.292,0.667,0.833,0.0,,
4.0,8.09,8.79,8.39,16.79,3.29,4.81,2.247,2.331,0.778,0.778,0.0,,
4.05,8.24,9.43,8.53,16.81,3.41,4.94,2.289,2.369,0.833,0.778,0.0,,
4.1,8.4,9.09,8.68,16.82,3.52,5.07,2.333,2.411,0.889,0.833,0.0,,
4.15,8.56,9.72,8.82,16.83,3.64,5.2,2.378,2.45,0.889,0.778,0.0,,
4.2,8.72,9.38,8.97,16.84,3.76,5.33,2.422,2.492,0.889,0.833,0.0,,
4.25,8.87,10.01,9.11,16.86,3.89,5.47,2.464,2.531,0.833,0.778,0.0,,
4.3,9.02,9.68,9.26,16.87,4.01,5.61,2.506,2.572,0.833,0.833,0.0,,
4.35,9.16,10.3,9.4,16.89,4.14,5.75,2.544,2.611,0.778,0.778,0.0,,
4.4,9.29,9.98,9.55,16.9,4.26,5.89,2.581,2.653,0.722,0.833,0.0,,
4.45,9.41,10.59,9.7,16.91,4.39,6.03,2.614,2.694,0.667,0.833,0.0,,
4.5,9.53,10.27,9.84,16.93,4.53,6.18,2.647,2.733,0.667,0.778,0.0,,
4.55,9.66,10.87,9.99,16.94,4.66,6.33,2.683,2.775,0.722,0.833,0.0,,
4.6,9.81,10.56,10.13,16.96,4.79,6.48,2.725,2.814,0.833,0.778,0.0,,
4.65,9.95,11.16,10.28,16.97,4.93,6.63,2.764,2.856,0.778,0.833,0.0,,
4.7,10.06,10.86,10.43,16.99,5.07,6.78,2.794,2.897,0.611,0.833,0.0,,
4.75,10.15,11.45,10.57,17.0,5.21,6.94,2.819,2.936,0.5,0.778,0.0,,
4.8,10.23,11.15,10.72,17.02,5.35,7.1,2.842,2.978,0.444,0.833,0.0,,
4.85,10.31,11.74,10.86,17.04,5.5,7.26,2.864,3.017,0.444,0.778,0.0,,
4.9,10.41,11.44,11.01,17.05,5.64,7.42,2.892,3.058,0.556,0.833,0.0,,
4.95,10.53,12.03,11.15,17.07,5.79,7.58,2.925,3.097,0.667,0.778,0.0,,
5.0,10.66,11.73,11.3,17.09,5.93,7.75,2.961,3.139,0.722,0.833,0.0,,
5.05,10.8,12.31,11.44,17.11,6.08,7.92,3.0,3.178,0.778,0.778,0.0,,
5.1,10.9,12.02,11.59,17.13,6.23,8.09,3.028,3.219,0.556,0.833,0.0,,
5.15,10.97,12.59,11.73,17.15,6.39,8.26,3.047,3.258,0.389,0.778,0.0,,
5.2,11.03,12.31,11.88,17.17,6.54,8.43,3.064,3.3,0.333,0.833,0.0,,
5.25,11.12,12.88,12.02,17.2,6.69,8.61,3.089,3.339,0.5,0.778,0.0,,
5.3,11.22,12.6,12.16,17.22,6.85,8.79,3.117,3.378,0.556,0.778,0.0,,
5.35,11.35,13.16,12.31,17.24,7.0,8.97,3.153,3.419,0.722,0.833,0.0,,
5.4,11.5,12.89,12.45,17.26,7.16,9.15,3.194,3.458,0.833,0.778,0.0,,
5.45,11.65,13.44,12.59,17.29,7.32,9.33,3.236,3.497,0.833,0.778,0.0,,
5.5,11.8,13.17,12.74,17.31,7.49,9.52,3.278,3.539,0.833,0.833,0.0,,
5.55,11.95,13.72,12.88,17.33,7.65,9.71,3.319,3.578,0.833,0.778,0.0,,
5.6,12.07,13.46,13.02,17.35,7.82,9.89,3.353,3.617,0.667,0.778,0.0,,
5.65,12.18,14.01,13.16,17.38,7.99,10.09,3.383,3.656,0.611,0.778,0.0,,
5.7,12.29,13.75,13.31,17.4,8.16,10.28,3.414,3.697,0.611,0.833,0.0,,
5.75,12.39,14.28,13.45,17.43,8.33,10.48,3.442,3.736,0.556,0.778,0.0,,
5.8,12.51,14.03,13.59,17.45,8.5,10.67,3.475,3.775,0.667,0.778,0.0,,
5.85,12.66,14.56,13.73,17.48,8.68,10.87,3.517,3.814,0.833,0.778,0.0,,
5.9,12.81,14.31,13.87,17.5,8.85,11.07,3.558,3.853,0.833,0.778,0.0,,
5.95,12.97,14.84,14.01,17.53,9.03,11.28,3.603,3.892,0.889,0.778,0.0,,
6.0,13.14,14.6,14.16,17.55,9.22,11.48,3.65,3.933,0.944,0.833,0.0,,
6.05,13.3,15.13,14.3,17.57,9.4,11.69,3.694,3.972,0.889,0.778,0.0,,
6.1,13.46,14.9,14.44,17.6,9.59,11.9,3.739,4.011,0.889,0.778,0.0,,
6.15,13.59,15.41,14.58,17.62,9.77,12.11,3.775,4.05,0.722,0.778,0.0,,
6.2,13.68,15.19,14.73,17.64,9.96,12.33,3.8,4.092,0.5,0.833,0.0,,
6.25,13.78,15.7,14.87,17.67,10.15,12.54,3.828,4.131,0.556,0.778,0.0,,
6.3,13.91,15.49,15.01,17.69,10.35,12.76,3.864,4.169,0.722,0.778,0.0,,
6.35,14.09,15.99,15.16,17.72,10.54,12.98,3.914,4.211,1.0,0.833,0.0,,
6.4,14.31,15.79,15.3,17.74,10.74,13.2,3.975,4.25,1.222,0.778,0.0,,
