Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.0,7.06,7.06,21.01,0.0,0.0,0.0,1.961,,,1.5,0.98,
0.05,0.0,8.82,7.94,21.01,0.0,0.11,0.0,2.206,0.0,4.889,1.5,,
0.1,0.0,10.58,8.82,21.01,0.0,0.25,0.0,2.45,0.0,4.889,1.5,,
0.15,0.0,10.75,9.3,21.0,0.0,0.41,0.0,2.583,0.0,2.667,1.5,,
0.2,0.0,7.77,9.0,21.0,0.0,0.53,0.0,2.5,0.0,-1.667,1.5,,
0.25,0.0,4.89,8.31,21.0,0.0,0.61,0.0,2.308,0.0,-3.833,1.5,,
0.3,0.0,0.29,7.17,21.0,0.0,0.64,0.0,1.992,0.0,-6.333,1.5,,
0.35,0.0,1.26,6.43,21.0,0.0,0.65,0.0,1.786,0.0,-4.111,1.5,,
0.4,0.0,1.82,5.92,21.0,0.0,0.68,0.0,1.644,0.0,-2.833,1.5,,
0.45,0.04,2.03,5.53,21.0,0.0,0.7,0.011,1.536,0.222,-2.167,1.5,,
0.5,0.08,0.59,4.88,21.0,0.0,0.71,0.022,1.356,0.222,-3.611,1.5,,
0.55,0.04,0.58,4.06,21.0,0.0,0.71,0.011,1.128,-0.222,-4.556,1.5,,
0.6,0.08,0.54,3.05,21.0,0.0,0.72,0.022,0.847,0.222,-5.611,1.5,,
0.65,0.04,0.51,2.03,21.0,0.0,0.72,0.011,0.564,-0.222,-5.667,1.5,,
0.7,0.08,0.48,1.3,21.0,0.0,0.73,0.022,0.361,0.222,-4.056,1.5,,
0.75,0.03,0.45,0.85,21.0,0.0,0.73,0.008,0.236,-0.278,-2.5,1.5,,
0.8,0.1,0.42,0.87,21.0,0.0,0.74,0.028,0.242,0.389,0.111,1.5,,
0.85,0.01,0.39,0.78,21.0,0.0,0.74,0.003,0.217,-0.5,-0.5,1.5,,
0.9,0.12,0.37,0.64,21.0,0.0,0.74,0.033,0.178,0.611,-0.778,1.5,,
0.95,0.01,0.35,0.47,21.0,0.01,0.75,0.003,0.131,-0.611,-0.944,1.5,,
1.0,0.14,0.32,0.44,21.0,0.01,0.75,0.039,0.122,0.722,-0.167,1.5,,
1.05,0.04,0.69,0.45,21.01,0.01,0.76,0.011,0.125,-0.556,0.056,1.5,,
1.1,0.18,1.24,0.52,21.02,0.01,0.78,0.05,0.144,0.778,0.389,1.5,,
1.15,0.08,0.77,0.55,21.03,0.01,0.79,0.022,0.153,-0.556,0.167,1.5,,
1.2,0.21,1.47,0.65,21.05,0.01,0.81,0.058,0.181,0.722,0.556,1.5,,
1.25,0.12,1.0,0.7,21.06,0.02,0.82,0.033,0.194,-0.5,0.278,1.5,,
1.3,0.26,1.71,0.83,21.08,0.02,0.85,0.072,0.231,0.778,0.722,1.5,,
1.35,0.26,1.26,0.92,21.1,0.02,0.87,0.072,0.256,0.0,0.5,1.5,,
1.4,0.59,1.98,1.08,21.12,0.03,0.89,0.164,0.3,1.833,0.889,1.5,,
1.45,0.64,1.54,1.2,21.13,0.04,0.91,0.178,0.333,0.278,0.667,1.5,,
1.5,0.86,2.26,1.39,21.15,0.05,0.94,0.239,0.386,1.222,1.056,1.5,,
1.55,0.89,1.83,1.51,21.16,0.06,0.97,0.247,0.419,0.167,0.667,1.5,,
1.6,0.97,2.55,1.64,21.18,0.07,1.0,0.269,0.456,0.444,0.722,1.5,,
1.65,1.14,2.12,1.77,21.2,0.09,1.04,0.317,0.492,0.944,0.722,1.5,,
1.7,1.1,2.84,1.91,21.22,0.1,1.07,0.306,0.531,-0.222,0.778,1.5,,
1.75,1.28,2.42,2.05,21.24,0.12,1.11,0.356,0.569,1.0,0.778,1.5,,
1.8,1.33,3.14,2.19,21.26,0.14,1.15,0.369,0.608,0.278,0.778,1.5,,
1.85,1.5,2.73,2.34,21.28,0.16,1.19,0.417,0.65,0.944,0.833,1.5,,
1.9,1.52,3.44,2.49,21.31,0.18,1.24,0.422,0.692,0.111,0.833,0.0,,
