Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.0,8.82,8.82,36.0,0.0,0.0,0.0,2.45,,,1.5,1.06,
0.05,0.0,10.58,9.7,36.0,0.0,0.14,0.0,2.694,0.0,4.889,1.5,,
0.1,0.03,10.75,10.05,36.0,0.0,0.29,0.008,2.792,0.167,1.944,1.5,,
0.15,0.01,0.47,7.66,36.0,0.0,0.3,0.003,2.128,-0.111,-13.278,1.5,,
0.2,0.02,0.6,6.25,36.0,0.0,0.3,0.006,1.736,0.056,-7.833,1.5,,
0.25,0.02,0.56,5.3,36.0,0.0,0.31,0.006,1.472,0.0,-5.278,1.5,,
0.3,0.01,0.53,4.62,36.0,0.0,0.31,0.003,1.283,-0.056,-3.778,1.5,,
0.35,0.04,0.5,4.1,36.0,0.0,0.31,0.011,1.139,0.167,-2.889,1.5,,
0.4,0.01,0.47,3.7,36.0,0.0,0.32,0.003,1.028,-0.167,-2.222,1.5,,
0.45,0.06,0.44,3.37,36.0,0.0,0.32,0.017,0.936,0.278,-1.833,1.5,,
0.5,0.03,0.41,2.53,36.0,0.0,0.33,0.008,0.703,-0.167,-4.667,1.5,,
0.55,0.08,0.39,1.51,36.0,0.0,0.33,0.022,0.419,0.278,-5.667,1.5,,
0.6,0.06,0.36,0.47,36.0,0.0,0.33,0.017,0.131,-0.111,-5.778,1.5,,
0.65,0.11,0.34,0.46,36.0,0.01,0.33,0.031,0.128,0.278,-0.056,1.5,,
0.7,0.09,0.73,0.47,36.0,0.01,0.34,0.025,0.131,-0.111,0.056,1.5,,
0.75,0.14,1.18,0.53,36.02,0.01,0.36,0.039,0.147,0.278,0.333,1.5,,
0.8,0.13,0.84,0.57,36.03,0.01,0.37,0.036,0.158,-0.056,0.222,1.5,,
0.85,0.19,1.43,0.66,36.05,0.01,0.39,0.053,0.183,0.333,0.5,1.5,,
0.9,0.18,1.08,0.72,36.06,0.01,0.41,0.05,0.2,-0.056,0.333,1.5,,
0.95,0.24,1.69,0.84,36.08,0.02,0.43,0.067,0.233,0.333,0.667,1.5,,
1.0,0.24,1.33,0.94,36.1,0.02,0.45,0.067,0.261,0.0,0.556,1.5,,
1.05,0.6,1.96,1.09,36.12,0.03,0.48,0.167,0.303,2.0,0.833,1.5,,
1.1,0.93,1.6,1.22,36.13,0.04,0.5,0.258,0.339,1.833,0.722,1.5,,
1.15,1.15,2.24,1.41,36.14,0.05,0.53,0.319,0.392,1.222,1.056,1.5,,
1.2,1.34,1.88,1.52,36.15,0.07,0.56,0.372,0.422,1.056,0.611,1.5,,
1.25,1.28,2.53,1.66,36.17,0.09,0.59,0.356,0.461,-0.333,0.778,1.5,,
1.3,1.29,2.16,1.79,36.18,0.11,0.62,0.358,0.497,0.056,0.722,1.5,,
1.35,1.28,2.82,1.93,36.2,0.13,0.66,0.356,0.536,-0.056,0.778,1.5,,
1.4,1.36,2.46,2.07,36.22,0.14,0.7,0.378,0.575,0.444,0.778,1.5,,
1.45,1.4,3.12,2.21,36.24,0.16,0.74,0.389,0.614,0.222,0.778,1.5,,
1.5,1.59,2.75,2.35,36.26,0.19,0.78,0.442,0.653,1.056,0.778,1.5,,
1.55,1.79,3.42,2.5,36.28,0.21,0.82,0.497,0.694,1.111,0.833,1.5,,
1.6,1.98,3.06,2.64,36.3,0.24,0.87,0.55,0.733,1.056,0.778,1.5,,
1.65,2.14,3.73,2.79,36.32,0.26,0.92,0.594,0.775,0.889,0.833,1.5,,
