Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.0,7.06,7.06,41.01,0.0,0.0,0.0,1.961,,,1.5,0.97,
0.05,0.0,8.82,7.94,41.0,0.0,0.11,0.0,2.206,0.0,4.889,1.5,,
0.1,0.0,10.58,8.82,41.0,0.0,0.25,0.0,2.45,0.0,4.889,1.5,,
0.15,0.0,10.75,9.3,41.0,0.0,0.41,0.0,2.583,0.0,2.667,1.5,,
0.2,0.0,7.77,9.0,41.0,0.0,0.53,0.0,2.5,0.0,-1.667,1.5,,
0.25,0.0,4.89,8.31,41.0,0.0,0.61,0.0,2.308,0.0,-3.833,1.5,,
0.3,0.0,0.29,7.17,41.0,0.0,0.64,0.0,1.992,0.0,-6.333,1.5,,
0.35,0.06,1.26,6.43,41.0,0.0,0.65,0.017,1.786,0.333,-4.111,1.5,,
0.4,0.06,0.96,5.82,41.0,0.0,0.66,0.017,1.617,0.0,-3.389,1.5,,
0.45,0.05,0.91,5.33,41.0,0.0,0.67,0.014,1.481,-0.056,-2.722,1.5,,
0.5,0.07,0.85,4.71,41.0,0.0,0.68,0.019,1.308,0.111,-3.444,1.5,,
0.55,0.04,0.8,3.91,41.0,0.0,0.69,0.011,1.086,-0.167,-4.444,1.5,,
0.6,0.08,0.75,2.92,41.0,0.0,0.69,0.022,0.811,0.222,-5.5,1.5,,
0.65,0.03,0.7,1.92,41.0,0.0,0.7,0.008,0.533,-0.278,-5.556,1.5,,
0.7,0.1,0.66,1.21,41.0,0.0,0.7,0.028,0.336,0.389,-3.944,1.5,,
0.75,0.0,0.62,0.78,41.0,0.0,0.71,0.0,0.217,-0.556,-2.389,1.5,,
0.8,0.13,0.58,0.81,41.0,0.0,0.71,0.036,0.225,0.722,0.167,1.5,,
0.85,0.03,0.55,0.74,41.0,0.0,0.72,0.008,0.206,-0.556,-0.389,1.5,,
0.9,0.16,0.51,0.69,40.99,0.01,0.72,0.044,0.192,0.722,-0.278,1.5,,
0.95,0.07,0.8,0.68,41.0,0.01,0.74,0.019,0.189,-0.5,-0.056,1.5,,
1.0,0.2,1.34,0.73,41.02,0.01,0.75,0.056,0.203,0.722,0.278,1.5,,
1.05,0.11,0.86,0.74,41.03,0.01,0.77,0.031,0.206,-0.5,0.056,1.5,,
1.1,0.26,1.56,0.82,41.05,0.01,0.79,0.072,0.228,0.833,0.444,1.5,,
1.15,0.18,1.08,0.86,41.06,0.02,0.8,0.05,0.239,-0.444,0.222,1.5,,
