Time (s),Ego Speed (km/h),Ego Speed (m/s),Lead Speed (km/h),Smoothed Lead Speed (m/s),Smoothed Lead Speed (km/h),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Distance Between (m),Lead Braking Distance (m),Braking Phase,RSS Safety Distance (m)
0.0,10.23,2.84,1.76,0.49,1.76,,,1.5,0.0,0.0,20.18,25.16,,3.97
0.05,10.32,2.87,1.76,0.49,1.76,0.497,0.0,1.5,0.14,0.01,20.04,,,4.04
0.1,10.36,2.88,1.76,0.49,1.76,0.188,0.001,1.5,0.29,0.03,19.9,,,4.06
0.15000000000000002,10.34,2.87,1.77,0.49,1.76,-0.106,0.003,1.5,0.43,0.04,19.75,,,4.05
0.2,10.27,2.85,1.77,0.49,1.77,-0.367,0.006,1.5,0.57,0.06,19.61,,,4.0
0.25,10.18,2.83,1.78,0.49,1.77,-0.489,0.01,1.5,0.72,0.07,19.47,,,3.93
0.30000000000000004,10.09,2.8,1.79,0.49,1.77,-0.524,0.017,1.5,0.86,0.09,19.34,,,3.85
0.35000000000000003,10.0,2.78,1.81,0.49,1.77,-0.517,0.025,1.5,1.0,0.1,19.2,,,3.78
0.4,9.92,2.75,1.83,0.49,1.78,-0.442,0.034,1.5,1.13,0.12,19.07,,,3.72
0.45,9.86,2.74,1.86,0.5,1.79,-0.296,0.044,1.5,1.27,0.14,18.94,,,3.68
0.5,9.84,2.73,1.9,0.5,1.8,-0.133,0.074,1.5,1.41,0.16,18.82,,,3.66
0.55,9.84,2.73,1.94,0.51,1.82,0.019,0.099,1.5,1.54,0.17,18.69,,,3.66
0.6000000000000001,9.87,2.74,1.99,0.51,1.84,0.164,0.128,1.5,1.68,0.19,18.57,,,3.68
0.65,9.92,2.76,2.05,0.52,1.87,0.258,0.16,1.5,1.82,0.21,18.44,,,3.71
0.7000000000000001,9.97,2.77,2.12,0.53,1.91,0.311,0.196,1.5,1.96,0.24,18.32,,,3.75
0.75,10.03,2.79,2.2,0.54,1.95,0.323,0.234,1.5,2.09,0.26,18.2,,,3.79
0.8,10.08,2.8,2.28,0.56,2.0,0.271,0.273,1.5,2.24,0.28,18.08,,,3.82
0.8500000000000001,10.11,2.81,2.37,0.57,2.05,0.176,0.313,1.5,2.38,0.31,17.96,,,3.84
0.9,10.12,2.81,2.47,0.59,2.12,0.051,0.354,1.5,2.52,0.34,17.84,,,3.84
0.9500000000000001,10.1,2.81,2.57,0.61,2.19,-0.106,0.394,1.5,2.66,0.37,17.73,,,3.82
1.0,10.06,2.79,2.68,0.63,2.27,-0.253,0.432,1.5,2.8,0.4,17.62,,,3.78
1.05,10.0,2.78,2.79,0.65,2.35,-0.332,0.469,1.5,2.94,0.43,17.51,,,3.72
