Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.0,7.06,7.06,16.01,0.0,0.0,0.0,1.961,,,1.5,1.0,
0.05,0.0,8.82,7.94,16.01,0.0,0.11,0.0,2.206,0.0,4.889,1.5,,
0.1,0.0,10.58,8.82,16.01,0.0,0.25,0.0,2.45,0.0,4.889,1.5,,
0.15,0.0,10.75,9.3,16.01,0.0,0.41,0.0,2.583,0.0,2.667,1.5,,
0.2,0.0,7.77,9.0,16.01,0.0,0.53,0.0,2.5,0.0,-1.667,1.5,,
0.25,0.0,4.89,8.31,16.01,0.0,0.61,0.0,2.308,0.0,-3.833,1.5,,
0.3,0.0,0.29,7.17,16.01,0.0,0.64,0.0,1.992,0.0,-6.333,1.5,,
0.35,0.0,1.26,6.43,16.01,0.0,0.65,0.0,1.786,0.0,-4.111,1.5,,
0.4,0.0,1.82,5.92,16.01,0.0,0.68,0.0,1.644,0.0,-2.833,1.5,,
0.45,0.04,2.03,5.53,16.01,0.0,0.7,0.011,1.536,0.222,-2.167,1.5,,
0.5,0.07,0.59,4.88,16.0,0.0,0.71,0.019,1.356,0.167,-3.611,1.5,,
0.55,0.04,0.58,4.06,16.0,0.0,0.71,0.011,1.128,-0.167,-4.556,1.5,,
0.6,0.07,0.54,3.05,16.0,0.0,0.72,0.019,0.847,0.167,-5.611,1.5,,
0.65,0.04,0.51,2.03,16.0,0.0,0.72,0.011,0.564,-0.167,-5.667,1.5,,
0.7,0.08,0.48,1.3,16.0,0.0,0.73,0.022,0.361,0.222,-4.056,1.5,,
0.75,0.03,0.45,0.85,16.0,0.0,0.73,0.008,0.236,-0.278,-2.5,1.5,,
0.8,0.1,0.42,0.87,16.0,0.0,0.74,0.028,0.242,0.389,0.111,1.5,,
0.85,0.01,0.39,0.78,16.0,0.0,0.74,0.003,0.217,-0.5,-0.5,1.5,,
0.9,0.12,0.37,0.64,16.0,0.0,0.74,0.033,0.178,0.611,-0.778,1.5,,
0.95,0.02,0.35,0.47,16.0,0.01,0.75,0.006,0.131,-0.556,-0.944,1.5,,
1.0,0.15,0.32,0.44,16.0,0.01,0.75,0.042,0.122,0.722,-0.167,1.5,,
1.05,0.05,0.67,0.45,16.01,0.01,0.76,0.014,0.125,-0.556,0.056,1.5,,
1.1,0.19,1.21,0.52,16.02,0.01,0.77,0.053,0.144,0.778,0.389,1.5,,
1.15,0.09,0.75,0.54,16.03,0.01,0.79,0.025,0.15,-0.556,0.111,1.5,,
1.2,0.23,1.44,0.64,16.05,0.01,0.81,0.064,0.178,0.778,0.556,1.5,,
1.25,0.14,0.98,0.69,16.06,0.02,0.82,0.039,0.192,-0.5,0.278,1.5,,
1.3,0.28,1.69,0.82,16.08,0.02,0.84,0.078,0.228,0.778,0.722,1.5,,
