Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.0,7.06,7.06,26.01,0.0,0.0,0.0,1.961,,,1.5,1.07,
0.05,0.0,8.82,7.94,26.01,0.0,0.11,0.0,2.206,0.0,4.889,1.5,,
0.1,0.0,10.58,8.82,26.0,0.0,0.25,0.0,2.45,0.0,4.889,1.5,,
0.15,0.0,10.75,9.3,26.0,0.0,0.41,0.0,2.583,0.0,2.667,1.5,,
0.2,0.0,7.77,9.0,26.0,0.0,0.53,0.0,2.5,0.0,-1.667,1.5,,
0.25,0.0,4.89,8.31,26.0,0.0,0.61,0.0,2.308,0.0,-3.833,1.5,,
0.3,0.0,0.29,7.17,26.0,0.0,0.64,0.0,1.992,0.0,-6.333,1.5,,
0.35,0.0,1.26,6.43,26.0,0.0,0.65,0.0,1.786,0.0,-4.111,1.5,,
0.4,0.05,1.82,5.92,26.0,0.0,0.68,0.014,1.644,0.278,-2.833,1.5,,
0.45,0.07,0.79,5.4,26.0,0.0,0.68,0.019,1.5,0.111,-2.889,1.5,,
0.5,0.05,0.76,4.77,26.0,0.0,0.69,0.014,1.325,-0.111,-3.5,1.5,,
0.55,0.07,0.71,3.96,26.0,0.0,0.7,0.019,1.1,0.111,-4.5,1.5,,
0.6,0.04,0.67,2.97,26.0,0.0,0.7,0.011,0.825,-0.167,-5.5,1.5,,
0.65,0.08,0.63,1.96,26.0,0.0,0.71,0.022,0.544,0.222,-5.611,1.5,,
0.7,0.04,0.59,1.24,26.0,0.0,0.71,0.011,0.344,-0.222,-4.0,1.5,,
0.75,0.09,0.55,0.81,26.0,0.0,0.72,0.025,0.225,0.278,-2.389,1.5,,
0.8,0.02,0.52,0.83,26.0,0.0,0.72,0.006,0.231,-0.389,0.111,1.5,,
0.85,0.1,0.49,0.75,26.0,0.0,0.73,0.028,0.208,0.444,-0.444,1.5,,
0.9,0.0,0.46,0.62,26.0,0.0,0.73,0.0,0.172,-0.556,-0.722,1.5,,
0.95,0.13,0.43,0.58,26.0,0.0,0.74,0.036,0.161,0.722,-0.222,1.5,,
1.0,0.02,0.73,0.58,26.01,0.01,0.75,0.006,0.161,-0.611,0.0,1.5,,
1.05,0.16,1.26,0.63,26.02,0.01,0.76,0.044,0.175,0.778,0.278,1.5,,
1.1,0.05,0.79,0.64,26.03,0.01,0.77,0.014,0.178,-0.611,0.056,1.5,,
1.15,0.19,1.48,0.73,26.05,0.01,0.79,0.053,0.203,0.778,0.5,1.5,,
1.2,0.09,1.0,0.77,26.06,0.01,0.81,0.025,0.214,-0.556,0.222,1.5,,
1.25,0.23,1.71,0.89,26.08,0.01,0.83,0.064,0.247,0.778,0.667,1.5,,
1.3,0.14,1.24,0.96,26.1,0.02,0.85,0.039,0.267,-0.5,0.389,1.5,,
1.35,0.28,1.96,1.1,26.12,0.02,0.88,0.078,0.306,0.778,0.778,1.5,,
1.4,0.34,1.5,1.21,26.14,0.02,0.9,0.094,0.336,0.333,0.611,1.5,,
1.45,0.51,2.22,1.39,26.16,0.03,0.93,0.142,0.386,0.944,1.0,1.5,,
1.5,0.63,1.77,1.49,26.18,0.04,0.95,0.175,0.414,0.667,0.556,1.5,,
1.55,0.75,2.5,1.62,26.2,0.05,0.99,0.208,0.45,0.667,0.722,1.5,,
1.6,0.74,2.05,1.74,26.22,0.06,1.02,0.206,0.483,-0.056,0.667,1.5,,
1.65,0.65,2.77,1.87,26.25,0.07,1.05,0.181,0.519,-0.5,0.722,1.5,,
