Time (s),Ego Speed (km/h),Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m)
0.0,8.17,7.06,16.01,0.0,0.0
0.05,4.18,8.82,16.01,0.08,0.11
0.1,1.82,10.58,16.01,0.11,0.25
0.15,0.48,10.75,16.01,0.13,0.41
0.2,0.23,7.77,16.01,0.13,0.53
0.25,0.57,4.89,16.01,0.13,0.61
0.3,0.69,0.29,16.01,0.14,0.64
0.35,0.69,1.26,16.01,0.15,0.65
0.4,0.63,1.82,16.01,0.16,0.68
0.45,0.55,2.03,16.01,0.17,0.7
0.5,0.46,1.97,16.01,0.18,0.73
0.55,0.38,1.73,16.01,0.18,0.76
0.6,0.3,1.39,16.01,0.19,0.78
0.65,0.24,1.01,16.01,0.19,0.8
0.7,0.19,0.64,16.01,0.19,0.81
0.75,0.15,0.32,16.01,0.2,0.81
0.8,0.11,0.06,16.01,0.2,0.81
0.85,0.09,0.13,16.01,0.2,0.82
0.9,0.07,0.25,16.01,0.2,0.82
0.95,0.05,0.31,16.01,0.2,0.82
1.0,0.04,0.32,16.01,0.2,0.83
1.05,0.03,0.29,16.01,0.2,0.83
1.1,0.02,0.24,16.01,0.2,0.83
1.15,0.0,0.19,16.01,0.2,0.84
1.2,0.0,0.13,16.01,0.2,0.84
1.25,0.0,0.07,16.01,0.2,0.84
1.3,0.0,0.03,16.01,0.2,0.84
1.35,0.0,0.01,16.01,0.2,0.84
1.4,0.0,0.03,16.01,0.2,0.84
1.45,0.0,0.0,16.01,0.2,0.84
1.5,0.0,0.0,16.01,0.2,0.84
1.55,0.0,0.0,16.01,0.2,0.84
1.6,0.0,0.0,16.01,0.2,0.84
1.65,0.0,0.0,16.01,0.2,0.84
1.7,0.0,0.0,16.01,0.2,0.84
1.75,0.0,0.0,16.01,0.2,0.84
1.8,0.0,0.0,16.01,0.2,0.84
1.85,0.0,0.0,16.01,0.2,0.84
1.9,0.0,0.0,16.01,0.2,0.84
1.95,0.0,0.0,16.01,0.2,0.84
2.0,0.0,0.0,16.01,0.2,0.84
2.05,0.0,0.0,16.01,0.2,0.84
2.1,0.0,0.0,16.01,0.2,0.84
2.15,0.0,0.0,16.01,0.2,0.84
2.2,0.0,0.0,16.01,0.2,0.84
2.25,0.0,0.0,16.01,0.2,0.84
2.3,0.0,0.0,16.01,0.2,0.84
2.35,0.0,0.0,16.01,0.2,0.84
2.4,0.0,0.0,16.01,0.2,0.84
2.45,0.0,0.0,16.01,0.2,0.84
2.5,0.0,0.0,16.01,0.2,0.84
2.55,0.0,0.0,16.01,0.2,0.84
2.6,0.0,0.0,16.01,0.2,0.84
2.65,0.0,0.0,16.01,0.2,0.84
2.7,0.0,0.0,16.01,0.2,0.84
2.75,0.0,0.0,16.01,0.2,0.84
2.8,0.0,0.0,16.01,0.2,0.84
2.85,0.0,0.0,16.01,0.2,0.84
2.9,0.0,0.0,16.01,0.2,0.84
2.95,0.0,0.0,16.01,0.2,0.84
3.0,0.0,0.0,16.01,0.2,0.84
3.05,0.0,0.0,16.01,0.2,0.84
3.1,0.0,0.0,16.01,0.2,0.84
3.15,0.0,0.0,16.01,0.2,0.84
3.2,0.0,0.0,16.01,0.2,0.84
3.25,0.0,0.0,16.01,0.2,0.84
3.3,0.0,0.0,16.01,0.2,0.84
3.35,0.0,0.0,16.01,0.2,0.84
3.4,0.0,0.0,16.01,0.2,0.84
3.45,0.0,0.0,16.01,0.2,0.84
3.5,0.0,0.0,16.01,0.2,0.84
3.55,0.0,0.0,16.01,0.2,0.84
3.6,0.0,0.0,16.01,0.2,0.84
3.65,0.0,0.0,16.01,0.2,0.84
3.7,0.0,0.0,16.01,0.2,0.84
3.75,0.0,0.0,16.01,0.2,0.84
3.8,0.0,0.0,16.01,0.2,0.84
3.85,0.0,0.0,16.01,0.2,0.84
3.9,0.0,0.0,16.01,0.2,0.84
3.95,0.0,0.0,16.01,0.2,0.84
4.0,0.0,0.0,16.01,0.2,0.84
4.05,0.0,0.0,16.01,0.2,0.84
4.1,0.0,0.0,16.01,0.2,0.84
4.15,0.0,0.0,16.01,0.2,0.84
4.2,0.0,0.0,16.01,0.2,0.84
4.25,0.0,0.0,16.01,0.2,0.84
4.3,0.0,0.0,16.01,0.2,0.84
4.35,0.0,0.0,16.01,0.2,0.84
4.4,0.0,0.0,16.01,0.2,0.84
4.45,0.0,0.0,16.01,0.2,0.84
4.5,0.0,0.0,16.01,0.2,0.84
4.55,0.0,0.0,16.01,0.2,0.84
4.6,0.0,0.0,16.01,0.2,0.84
4.65,0.0,0.0,16.01,0.2,0.84
4.7,0.0,0.0,16.01,0.2,0.84
4.75,0.0,0.0,16.01,0.2,0.84
4.8,0.0,0.0,16.01,0.2,0.84
4.85,0.0,0.0,16.01,0.2,0.84
4.9,0.0,0.0,16.01,0.2,0.84
4.95,0.0,0.0,16.01,0.2,0.84
5.0,0.0,0.0,16.01,0.2,0.84
5.05,0.0,0.0,16.01,0.2,0.84
5.1,0.0,0.0,16.01,0.2,0.84
5.15,0.0,0.0,16.01,0.2,0.84
5.2,0.0,0.0,16.01,0.2,0.84
5.25,0.0,0.0,16.01,0.2,0.84
5.3,0.0,0.0,16.01,0.2,0.84
5.35,0.0,0.0,16.01,0.2,0.84
5.4,0.0,0.0,16.01,0.2,0.84
5.45,0.0,0.0,16.01,0.2,0.84
5.5,0.0,0.0,16.01,0.2,0.84
5.55,0.0,0.0,16.01,0.2,0.84
5.6,0.0,0.0,16.01,0.2,0.84
5.65,0.0,0.0,16.01,0.2,0.84
5.7,0.0,0.0,16.01,0.2,0.84
5.75,0.0,0.0,16.01,0.2,0.84
5.8,0.0,0.0,16.01,0.2,0.84
5.85,0.0,0.0,16.01,0.2,0.84
5.9,0.0,0.0,16.01,0.2,0.84
5.95,0.0,0.0,16.01,0.2,0.84
6.0,0.0,0.0,16.01,0.2,0.84
6.05,0.0,0.0,16.01,0.2,0.84
6.1,0.0,0.0,16.01,0.2,0.84
6.15,0.0,0.0,16.01,0.2,0.84
6.2,0.0,0.0,16.01,0.2,0.84
6.25,0.0,0.0,16.01,0.2,0.84
6.3,0.0,0.0,16.01,0.2,0.84
6.35,0.0,0.0,16.01,0.2,0.84
6.4,0.0,0.0,16.01,0.2,0.84
6.45,0.0,0.0,16.01,0.2,0.84
6.5,0.0,0.0,16.01,0.2,0.84
6.55,0.0,0.0,16.01,0.2,0.84
6.6,0.0,0.0,16.01,0.2,0.84
6.65,0.0,0.0,16.01,0.2,0.84
6.7,0.0,0.0,16.01,0.2,0.84
6.75,0.0,0.0,16.01,0.2,0.84
6.8,0.0,0.0,16.01,0.2,0.84
6.85,0.0,0.0,16.01,0.2,0.84
6.9,0.0,0.0,16.01,0.2,0.84
6.95,0.0,0.0,16.01,0.2,0.84
7.0,0.0,0.0,16.01,0.2,0.84
7.05,0.0,0.0,16.01,0.2,0.84
7.1,0.0,0.0,16.01,0.2,0.84
7.15,0.0,0.0,16.01,0.2,0.84
7.2,0.0,0.0,16.01,0.2,0.84
7.25,0.0,0.0,16.01,0.2,0.84
7.3,0.0,0.0,16.01,0.2,0.84
7.35,0.0,0.0,16.01,0.2,0.84
7.4,0.0,0.0,16.01,0.2,0.84
7.45,0.0,0.0,16.01,0.2,0.84
7.5,0.0,0.0,16.01,0.2,0.84
7.55,0.0,0.0,16.01,0.2,0.84
7.6,0.0,0.0,16.01,0.2,0.84
7.65,0.0,0.0,16.01,0.2,0.84
7.7,0.0,0.0,16.01,0.2,0.84
7.75,0.0,0.0,16.01,0.2,0.84
7.8,0.0,0.0,16.01,0.2,0.84
7.85,0.0,0.0,16.01,0.2,0.84
7.9,0.0,0.0,16.01,0.2,0.84
7.95,0.0,0.0,16.01,0.2,0.84
8.0,0.0,0.0,16.01,0.2,0.84
8.05,0.0,0.0,16.01,0.2,0.84
8.1,0.0,0.0,16.01,0.2,0.84
8.15,0.0,0.0,16.01,0.2,0.84
8.2,0.0,0.0,16.01,0.2,0.84
8.25,0.0,0.0,16.01,0.2,0.84
8.3,0.0,0.0,16.01,0.2,0.84
8.35,0.0,0.0,16.01,0.2,0.84
8.4,0.0,0.0,16.01,0.2,0.84
