Time (s),Ego Speed (km/h),Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m)
0.0,4.18,10.58,16.01,0.0,0.0
0.05,1.82,10.75,16.01,0.04,0.16
0.1,0.48,7.77,16.01,0.05,0.28
0.15,0.23,4.89,16.01,0.05,0.36
0.2,0.57,0.29,16.01,0.06,0.39
0.25,0.69,1.26,16.01,0.07,0.4
0.3,0.69,1.82,16.01,0.08,0.43
0.35,0.63,2.03,16.01,0.08,0.45
0.4,0.55,1.97,16.01,0.09,0.48
0.45,0.46,1.73,16.01,0.1,0.51
0.5,0.38,1.39,16.01,0.11,0.53
0.55,0.3,1.01,16.01,0.11,0.55
0.6,0.24,0.64,16.01,0.11,0.56
0.65,0.19,0.32,16.01,0.12,0.56
0.7,0.15,0.06,16.01,0.12,0.56
0.75,0.11,0.13,16.01,0.12,0.57
0.8,0.09,0.25,16.01,0.12,0.57
0.85,0.07,0.31,16.01,0.12,0.57
0.9,0.05,0.32,16.01,0.12,0.58
0.95,0.04,0.29,16.01,0.12,0.58
1.0,0.03,0.24,16.01,0.12,0.58
1.05,0.02,0.19,16.01,0.13,0.59
1.1,0.0,0.13,16.01,0.13,0.59
1.15,0.0,0.07,16.01,0.13,0.59
1.2,0.0,0.03,16.01,0.13,0.59
1.25,0.0,0.01,16.01,0.13,0.59
1.3,0.0,0.03,16.01,0.13,0.59
1.35,0.0,0.0,16.01,0.13,0.59
1.4,0.0,0.0,16.01,0.13,0.59
1.45,0.0,0.0,16.01,0.13,0.59
1.5,0.0,0.0,16.01,0.13,0.59
1.55,0.0,0.0,16.01,0.13,0.59
1.6,0.0,0.0,16.01,0.13,0.59
1.65,0.0,0.0,16.01,0.13,0.59
1.7,0.0,0.0,16.01,0.13,0.59
1.75,0.0,0.0,16.01,0.13,0.59
1.8,0.0,0.0,16.01,0.13,0.59
1.85,0.0,0.0,16.01,0.13,0.59
1.9,0.0,0.0,16.01,0.13,0.59
1.95,0.0,0.0,16.01,0.13,0.59
2.0,0.0,0.0,16.01,0.13,0.59
2.05,0.0,0.0,16.01,0.13,0.59
2.1,0.0,0.0,16.01,0.13,0.59
2.15,0.0,0.0,16.01,0.13,0.59
2.2,0.0,0.0,16.01,0.13,0.59
2.25,0.0,0.0,16.01,0.13,0.59
2.3,0.0,0.0,16.01,0.13,0.59
2.35,0.0,0.0,16.01,0.13,0.59
2.4,0.0,0.0,16.01,0.13,0.59
2.45,0.0,0.0,16.01,0.13,0.59
2.5,0.0,0.0,16.01,0.13,0.59
2.55,0.0,0.0,16.01,0.13,0.59
2.6,0.0,0.0,16.01,0.13,0.59
2.65,0.0,0.0,16.01,0.13,0.59
2.7,0.0,0.0,16.01,0.13,0.59
2.75,0.0,0.0,16.01,0.13,0.59
2.8,0.0,0.0,16.01,0.13,0.59
2.85,0.0,0.0,16.01,0.13,0.59
2.9,0.0,0.0,16.01,0.13,0.59
2.95,0.0,0.0,16.01,0.13,0.59
3.0,0.0,0.0,16.01,0.13,0.59
3.05,0.0,0.0,16.01,0.13,0.59
3.1,0.0,0.0,16.01,0.13,0.59
3.15,0.0,0.0,16.01,0.13,0.59
3.2,0.0,0.0,16.01,0.13,0.59
3.25,0.0,0.0,16.01,0.13,0.59
3.3,0.0,0.0,16.01,0.13,0.59
3.35,0.0,0.0,16.01,0.13,0.59
3.4,0.0,0.0,16.01,0.13,0.59
3.45,0.0,0.0,16.01,0.13,0.59
3.5,0.0,0.0,16.01,0.13,0.59
