Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.01,8.82,8.82,11.01,0.0,0.0,0.003,2.45,,,1.5,4.07,
0.05,0.01,10.58,9.7,11.01,0.0,0.14,0.003,2.694,0.0,4.889,1.5,,
0.1,0.01,10.75,10.05,11.01,0.0,0.29,0.003,2.792,0.0,1.944,1.5,,
0.15,0.0,7.77,9.48,11.01,0.0,0.42,0.0,2.633,-0.056,-3.167,1.5,,
0.2,0.0,4.89,8.56,11.01,0.0,0.5,0.0,2.378,0.0,-5.111,1.5,,
0.25,0.0,0.29,7.18,11.01,0.0,0.53,0.0,1.994,0.0,-7.667,1.5,,
0.3,0.0,1.26,6.34,11.01,0.0,0.54,0.0,1.761,0.0,-4.667,1.5,,
0.35,0.0,1.82,5.77,11.01,0.0,0.56,0.0,1.603,0.0,-3.167,1.5,,
0.4,0.0,2.03,5.36,11.01,0.0,0.59,0.0,1.489,0.0,-2.278,1.5,,
0.45,0.0,1.97,5.02,11.01,0.0,0.62,0.0,1.394,0.0,-1.889,1.5,,
0.5,0.0,1.73,4.31,11.01,0.0,0.65,0.0,1.197,0.0,-3.944,1.5,,
0.55,0.0,1.39,3.39,11.01,0.0,0.67,0.0,0.942,0.0,-5.111,1.5,,
0.6,0.0,1.01,2.41,11.01,0.0,0.68,0.0,0.669,0.0,-5.444,1.5,,
0.65,0.0,0.64,1.7,11.01,0.0,0.69,0.0,0.472,0.0,-3.944,1.5,,
0.7,0.0,0.32,1.24,11.01,0.0,0.7,0.0,0.344,0.0,-2.556,1.5,,
0.75,0.0,0.06,1.22,11.01,0.0,0.7,0.0,0.339,0.0,-0.111,1.5,,
0.8,0.0,0.13,1.11,11.01,0.0,0.7,0.0,0.308,0.0,-0.611,1.5,,
0.85,0.0,0.25,0.95,11.01,0.0,0.71,0.0,0.264,0.0,-0.889,1.5,,
0.9,0.0,0.31,0.78,11.01,0.0,0.71,0.0,0.217,0.0,-0.944,1.5,,
